Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min, Label
10.0.0.43-10.0.0.44-3382-80-6,10.0.0.43,51038,10.0.0.44,80,6,03/07/2017 00:20:43,0.650225,-0.35040313,0.15568247,0.3630004,0.19002219,0.43165195,0.40675578,0.5721785,1.0071286,0.082910486,0.7018687,0.35563955,-0.0015115301,0.81583816,0.8175543,0.38639703,-0.33933145,1.5069652,0.66879916,-0.46199992,0.6555734,0.5321662,-0.09278943,-0.25339338,-0.43096974,-0.25639272,0.6869059,0.14561644,0.6583625,1.0607207,0.60571104,-0.3883394,0.4824758,0.66835093,0.42517775,-0.21912187,-0.14060597,0.12115273,0.050333597,0.5107735,0.30873042,-0.44277632,1.0580198,-0.23703897,-0.04127658,0.32606646,-0.13463393,-0.17305778,0.67052996,0.60123473,0.39632952,-0.22930822,0.6662988,0.73254263,-0.49915767,-0.18919389,0.28629592,0.24486841,1.0600111,0.44431525,-0.07735109,0.51302004,0.60739625,-0.94841266,-0.89395505,0.6781518,0.025334436,0.22048801,0.43142316,-1.1271112,0.6990813,0.29806685,0.70212126,-0.4113697,0.009398893,-0.18744369,0.31100398,BENIGN
10.0.0.156-10.0.0.157-39148-80-6,10.0.0.156,57835,10.0.0.157,21,6,03/07/2017 00:29:16,5.9232936,4.069991,3.6234422,3.3691218,2.6343844,3.6421123,3.8299053,4.7739344,3.4777377,2.5386937,3.5632615,3.631418,3.6683283,2.4798326,3.422754,3.2543218,3.9952977,2.7740142,2.9368293,4.625794,3.6443653,2.389953,1.8943434,3.8525608,4.4212003,2.1782959,3.1672103,3.3814409,4.1376557,2.462618,2.4007895,3.9480996,2.4665473,3.4372241,3.0861037,3.634161,4.0536337,2.20485,1.9969361,4.686081,2.165626,2.4929812,3.833561,2.8858528,3.2939656,5.254893,1.4374799,3.4200761,2.8256862,3.8619204,2.2956138,4.2827926,3.160451,1.6317776,3.7598295,4.5742173,2.2892165,3.4344919,3.6478472,3.5644155,2.4968004,2.7227507,3.3126268,2.0219483,3.001508,1.7195611,3.911787,2.2945733,5.9251842,2.5799205,3.1071982,2.704087,4.0965333,2.4633815,2.988438,2.8414705,6.2363386,DDoS
10.0.0.159-10.0.0.160-17862-80-6,10.0.0.159,48111,10.0.0.160,22,17,03/07/2017 00:02:39,0.6308619,-0.4880586,0.4740048,0.18601917,1.2229792,-0.5024946,-0.030973895,0.42325288,1.3505489,-1.3728355,-0.98810136,0.9923288,0.47516242,-0.07284256,0.74603426,-0.1054167,0.03636387,-0.0613123,0.9193921,0.3726378,-0.02153955,0.08045133,0.011794889,0.22588244,-0.3132862,0.94709456,0.8786981,0.7433542,-0.4141196,0.017775014,0.12601916,0.38498065,-0.3616604,0.20977217,-0.11624222,0.81520075,0.26273647,-0.57530755,0.5024585,0.2391581,-0.52410626,-0.19434236,0.5201256,0.082796045,1.0573994,-0.19711381,0.38940927,0.15012166,1.0048009,0.3750523,0.17816891,1.4424357,0.71076393,-0.32244667,0.7337847,0.03256213,0.21383809,0.47964373,0.0046392875,-0.64350253,-0.14253639,0.7590486,0.498002,1.6410732,-0.4468265,0.2799409,0.2519349,0.14893772,0.22018775,0.23237956,0.98416615,0.016328236,0.96877235,0.2906058,-0.17030708,0.13002975,1.2367895,BENIGN
10.0.0.6-10.0.0.7-27906-80-6,10.0.0.6,31528,10.0.0.7,80,6,03/07/2017 00:16:46,2.8714411,2.6571407,1.6097001,3.8250628,2.861632,3.0898492,3.073375,3.0962493,3.380311,3.1316552,4.708586,3.2002604,4.7059183,3.1602497,2.6253395,3.6276355,2.9108222,2.1896203,2.8827689,3.350238,3.556122,1.2021601,2.7287724,3.8869197,3.2341225,4.1735415,3.8149772,3.3213377,2.6453269,2.9938483,2.3194723,3.117777,2.4860485,3.7551658,4.1781178,5.703875,1.3713763,2.2133582,2.3350384,3.0360098,3.774529,3.3746288,5.02853,3.7464292,3.3139856,4.6298594,3.8556433,4.2254887,3.1593661,2.7506993,4.8646803,4.1555295,3.304204,3.685517,3.883552,3.1808755,3.4677808,3.0704262,3.67796,2.9996529,3.0529642,3.9424505,2.5580552,1.748588,2.8410788,4.042445,3.844825,2.0118062,4.7837067,3.7979665,3.8904164,4.9833164,2.5408006,4.1765213,3.962703,3.7425115,4.833636,DDoS
10.0.0.29-10.0.0.30-54341-80-6,10.0.0.29,59341,10.0.0.30,53,6,03/07/2017 00:07:09,0.09003906,-0.10975547,0.19040121,0.16425364,-0.19662638,0.32623228,-0.39406076,-0.052863773,0.47702438,0.6219002,-1.0004749,-0.14600757,0.199678,0.30597726,0.41242623,0.4108551,0.3283609,0.6574602,0.11693035,-0.62361866,-0.014025745,0.68439525,0.2950576,0.65674484,-0.526015,0.1064963,-0.14915061,1.7528936,0.8422648,-0.43981686,1.1108972,1.0242363,-0.052968364,-0.3725903,0.6458394,1.0139118,0.26681376,0.4983851,0.18963006,-0.42301705,-0.52588195,0.07423047,-0.29329354,0.72144043,-0.12658073,0.25885683,0.18665917,0.9377279,0.18633313,-0.1350876,0.62553424,0.22726092,-0.3564149,-0.3195704,0.30409753,-0.06169215,0.1899812,-0.23798074,0.09195078,0.49062687,-0.08756233,0.5393399,0.7506084,0.3741214,0.41341034,0.30131173,-0.15128991,0.10906651,0.18844548,0.4171569,0.1360513,0.038691424,-0.18431997,0.39040083,0.4506993,0.6187532,0.70567083,BENIGN
10.0.0.129-10.0.0.130-23745-80-6,10.0.0.129,16197,10.0.0.130,8080,17,03/07/2017 00:18:49,0.2854208,0.2610428,0.5024135,-0.3221011,-0.4958896,0.40539798,0.71427697,-0.019812679,0.4517533,-0.0045574475,-0.15824294,1.369075,0.16917522,-0.5115263,0.41474265,0.9645339,-0.055388574,0.482735,0.373625,-0.022125747,0.24001493,0.18899496,0.25263676,-0.945432,0.22826946,-0.07119307,0.16934632,0.6806506,0.49885446,0.04324041,0.25047687,0.115219854,0.23235749,-0.6684319,0.2732532,0.16565816,0.018210016,-0.22816397,0.29396763,-0.38160124,0.9169156,-0.08333942,1.0546178,-0.4375167,0.87834114,0.23945306,0.3452715,-0.7403507,0.22306152,-0.077978,0.46744037,-0.57362914,0.65287733,0.25001863,-0.7606699,0.6189105,0.4827343,1.2764441,-1.5446299,0.4003049,0.013767538,0.041823372,0.06641062,-0.8451621,0.35298082,0.26661822,0.36058754,0.4726339,0.55304325,0.18820405,-0.07529889,0.3836192,0.54431456,0.17594978,0.29581574,0.78289324,0.16797496,BENIGN
10.0.0.138-10.0.0.139-6288-80-6,10.0.0.138,2913,10.0.0.139,21,17,03/07/2017 00:08:58,0.38514462,0.2711023,0.3600193,-0.26980028,-0.23824342,1.0362018,0.3375503,0.3157072,0.08081647,0.7115225,-0.2224876,0.42473885,0.08116203,0.5155789,0.5682921,1.077611,0.4976589,0.46463388,0.7716695,1.2702457,0.30255166,0.9262536,0.7467994,0.5939843,0.55457383,0.26318136,0.026036706,0.48438185,-0.023034219,-0.7649966,1.6338989,-0.547269,0.20569433,-0.13230957,-0.43871838,-0.026049845,0.19186606,0.9072089,0.10831563,-0.48784015,0.12196137,0.64093566,1.0256383,0.97594804,-0.23186669,0.446812,0.23904683,-0.51211166,-0.88013196,0.7087859,0.764395,1.1231781,0.37791264,-0.4098446,1.135952,-0.07624891,0.04768206,-0.19892362,-0.28558633,0.5850539,0.30090007,-0.085412666,0.53785866,0.2379857,-0.005188296,0.07193277,-0.02431352,0.57909894,0.6602207,0.3456398,-0.3469881,0.03732289,-0.41106218,-0.4097695,0.6098892,0.49916354,-0.2196867,BENIGN
10.0.0.167-10.0.0.168-12186-80-6,10.0.0.167,29404,10.0.0.168,8080,6,03/07/2017 00:09:27,0.771298,0.86915475,0.60019916,-0.49410486,-0.22432359,0.33766392,-0.29703173,0.7311145,0.443551,0.4613123,-0.14884801,-0.07319273,0.3351114,-0.0955986,0.80493665,-0.45024642,1.0216051,0.5198491,0.51843345,0.652233,0.33358407,0.766373,0.11066665,1.210354,0.6745475,0.006786781,0.51350963,0.1432462,-0.13003017,-0.046851497,-0.29770976,-0.39781117,1.041946,0.8651142,0.61386037,0.43636662,-0.21486405,0.12201389,-0.111564785,1.3083757,0.6792806,0.022353522,1.754421,0.109219655,0.0050063333,0.24127321,0.23642054,0.008797085,1.0101229,0.28774405,0.4219848,-0.036084883,0.5790534,-0.33811238,0.3915951,0.8993122,0.573579,-0.17284778,-0.02508957,0.28661016,0.6245915,0.52662694,0.512279,-0.10684937,0.5466304,0.33133373,-0.25168574,0.16765715,0.56111014,0.31698677,0.41533884,0.12274109,0.048624247,0.034815352,-0.031674128,0.14624944,0.8775092,BENIGN
10.0.0.128-10.0.0.129-38325-80-6,10.0.0.128,50251,10.0.0.129,22,17,03/07/2017 00:25:28,0.2999665,-0.8194052,0.7837848,-0.23525332,0.54281527,0.1756963,-0.032009013,-1.454941,0.73940724,-0.012952019,-0.23110235,0.7981942,0.10870401,0.51746166,0.9959358,-0.3285252,0.19980592,0.96184444,-0.38649926,0.10532398,0.7575982,0.319168,0.6415205,-0.96741736,0.4499459,-1.0031906,0.46093968,0.28060913,0.13200293,0.0841963,0.18185918,0.26882604,1.3423265,1.2758971,-0.19507112,0.5154306,-0.17494336,-0.15084459,0.15102556,0.29628578,-0.65624195,0.4952507,0.011310623,0.1793056,-0.14117365,-0.115338944,0.6677506,0.038447235,-0.15727903,0.3146867,0.4887405,0.542074,0.89510703,-0.68682086,0.49473086,0.19133234,0.5893342,0.17662972,1.4136604,-0.02384682,-0.14917828,0.2542282,0.10159444,0.750381,0.36689004,-0.2577923,1.3003019,0.5967396,-0.0005709961,-0.038763165,-0.84468096,-0.33820313,0.3126672,0.020763151,0.41492218,0.9931977,0.0151651595,BENIGN
10.0.0.119-10.0.0.120-10167-80-6,10.0.0.119,25570,10.0.0.120,443,6,03/07/2017 00:05:19,1.3016975,4.1081657,0.77148294,3.2656593,2.8147998,4.5106106,5.2809286,3.6722822,3.2121153,2.2264183,3.7796192,2.3949537,2.7022595,4.113089,2.960473,4.079072,3.2137458,3.729837,2.8509636,4.1864133,3.0270839,2.8263636,1.6192681,3.922127,3.7772117,3.706289,2.5709004,3.195106,3.0048006,2.9459038,4.8666015,3.3438957,1.7957362,3.882636,2.6972404,3.149744,3.1055396,3.335934,2.2545278,2.3372955,2.8433957,1.9796729,3.6970563,3.5017729,3.8246694,3.5371835,2.7586215,3.2203455,4.0075736,3.4579964,3.5485897,3.8506765,4.288446,2.1817224,3.6251442,3.4450634,3.2641504,2.7631974,3.9630368,3.914493,3.788899,2.46591,3.3190114,2.4104471,2.7112684,4.1102242,3.919199,2.5834637,4.30945,3.8633225,3.350838,3.7231493,3.5270147,3.6122022,3.775857,3.94908,4.24163,DDoS
