Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min, Label
10.0.0.174-10.0.0.175-5862-80-6,10.0.0.174,2630,10.0.0.175,53,6,03/07/2017 00:02:54,0.2359705,0.7853463,0.09228475,-0.71123594,0.20032597,0.28836074,0.36860734,-0.07900428,-0.15583974,0.06904617,0.24796425,0.49724382,0.38568226,0.3245652,0.028628662,-0.6380756,0.74498767,0.31006795,0.26185662,0.41703418,-0.33228213,-0.51940864,0.4103597,0.21776284,-0.44404542,1.1236511,-0.29601067,0.083242044,0.30502892,-0.121703915,0.64195764,0.12945999,-0.116755016,-0.3456191,0.35949352,1.187667,0.719942,-0.18712337,0.42653635,0.04304905,0.70174414,0.2172144,-0.5485173,0.5501357,0.4746217,0.50974166,0.0053438456,0.48421478,-0.42985705,0.04013388,-0.48273838,0.7262028,0.5103661,-0.0679627,-0.3375857,0.63374573,-0.30214077,0.13393605,0.22597228,0.76691794,-0.18565328,0.4465371,0.029724224,0.15459245,0.30799007,0.4898109,-0.25997734,0.053852327,0.28294733,0.31659997,0.8978683,0.95264286,-0.04634612,0.72659004,0.8001732,0.5551977,-0.12250689,BENIGN
10.0.0.196-10.0.0.197-31965-80-6,10.0.0.196,39816,10.0.0.197,80,17,03/07/2017 00:09:56,0.543709,0.5944048,0.3821695,0.26504084,0.13620234,0.028152224,1.017267,0.21089095,0.25034332,0.035001636,0.34796846,1.5249124,0.2513777,0.827093,0.17938218,0.5723472,0.5172392,-0.3930055,-0.24773481,-0.24266851,-0.15370539,0.42230457,0.10951143,0.3172716,0.55995655,0.8980948,0.39764494,0.35736808,-0.024988055,0.06358379,0.3889996,0.4548722,0.84776646,0.18123835,0.3055944,1.0708184,-0.097484455,0.23170842,0.5747586,0.07703496,-0.5931883,0.3310029,0.043494392,-0.13650422,-0.33880734,0.47840384,0.6199824,-0.64576113,0.7062139,0.746688,-0.036170803,0.17868434,0.4399683,0.5782686,-0.22315037,-0.24917473,-1.3612427,0.5892935,0.12236338,-0.94767916,-0.16873445,-0.04670004,0.22892661,0.25575435,0.5359592,0.6760234,0.7645449,0.8552713,0.7771618,0.15727319,-0.045116726,0.41353235,0.32344955,0.17120326,0.23676784,0.11604164,0.1426537,BENIGN
10.0.0.29-10.0.0.30-18261-80-6,10.0.0.29,11071,10.0.0.30,53,6,03/07/2017 00:17:09,-1.6197425,-2.7406776,-2.4753132,-1.3446217,-1.2643629,-3.1254003,-2.258632,-1.7410163,-1.8413863,-3.4339957,-1.228929,-1.6942545,-2.707304,-2.9246554,-1.5426284,-2.2151947,-1.128054,-1.4865736,-2.0709019,-2.811144,-1.3460711,-2.0977986,-1.5583022,-1.7330794,-0.24350089,-1.2305318,-1.8328342,-1.6914277,-0.9810383,-1.4533011,-1.9062529,-1.8176647,-1.6479024,-1.5973122,-0.8708699,-1.9124273,-1.7728326,-2.7069905,-1.2945188,-1.9567266,-0.7314187,-1.7490834,-1.881852,-2.3050725,-1.4095598,-0.56132567,-1.2547648,-2.019779,-0.45127174,-2.2256465,-0.8524871,-1.8975538,-2.4717648,-2.209223,-2.3817153,-0.8348082,-2.0059004,-1.5334247,-1.9025527,-1.8058863,-2.3441913,-2.5783546,-2.582285,-1.7124851,-0.8489496,-1.678714,-1.9939191,-1.7999686,-2.6954162,-2.0596871,-3.447432,-2.66636,-0.8790586,-1.644304,-1.0341642,-2.403742,-2.3865669,PortScan
10.0.0.62-10.0.0.63-17291-80-6,10.0.0.62,36606,10.0.0.63,53,17,03/07/2017 00:21:02,-2.5784378,-2.3942678,-0.9876264,-2.574338,-1.7873021,-2.6362636,-2.6080778,-0.9632878,-2.5160809,-1.5417286,-1.3170093,-2.0710294,-1.7968516,-1.9110621,-3.6924078,-1.9070837,-1.0706954,-2.535906,-1.7704886,-2.5324364,-2.0338783,-2.030461,-2.054097,-1.3754809,-1.6355052,-2.1839163,-1.9422336,-1.681508,-1.549756,-2.0952575,-2.0536392,-2.4490745,-3.072639,-1.482636,-1.3547162,-1.5473934,-0.5620013,-3.064648,-1.5632939,-1.4855231,-2.1711917,-2.1808193,-1.8048112,-2.222143,-1.6884423,-1.9547733,-1.1901284,-2.8302317,-1.2719074,-2.4074821,-2.0554926,-2.5508,-1.1216247,-2.5584223,-1.5084409,-1.652137,-2.75689,-2.4827986,-1.9329644,-1.3909705,-1.5673764,-1.7369066,-1.0755665,-0.88221276,-0.19628052,-2.504998,-2.5438507,-1.8034323,-2.5934486,-1.7194543,-1.9838504,-1.6166472,-0.45506504,-1.5969579,-1.2147163,-1.7533032,-2.1122468,PortScan
10.0.0.21-10.0.0.22-57220-80-6,10.0.0.21,22016,10.0.0.22,53,6,03/07/2017 00:07:01,-1.1596589,0.11816486,0.40184054,-0.34258553,0.24453595,0.739351,0.68991864,0.53094214,0.24582659,0.71807176,0.7398111,-0.8009764,0.5414084,0.13822916,0.09834394,1.3200173,0.40151453,0.30330783,0.6238726,1.2524526,0.2897034,0.09647634,0.36136147,-0.059834752,0.48554125,-0.242213,0.28677788,0.524541,0.059528846,0.21330485,0.36804652,0.52564853,0.062235948,1.1167463,0.51794064,-0.58933055,-0.16777328,1.0728724,0.29762396,-0.8134046,0.18876277,0.124642864,0.5036865,-0.291264,0.76748407,-0.2883625,-1.1830161,-0.8021839,0.19610763,0.3283225,-0.029966688,0.49629122,-0.38783613,0.012021441,0.01956791,1.3367587,0.5931509,0.36613157,0.1098935,0.19814403,0.17350715,0.11765577,0.7182027,0.4394908,-0.2908565,0.5137377,0.18602993,0.72860533,0.17341386,0.25786805,0.3751122,0.13162193,-0.3574352,0.86542696,0.84020984,0.59210414,-0.5285586,BENIGN
10.0.0.145-10.0.0.146-7968-80-6,10.0.0.145,3623,10.0.0.146,23,6,03/07/2017 00:25:45,1.5491143,0.57118666,0.19447918,-0.6506018,0.13161284,-0.09412022,0.9064618,0.3179889,0.22821963,0.6186628,0.37311962,1.1590735,-0.12975086,1.500478,0.53503084,-0.019680573,0.09489622,0.13226579,0.49136895,0.38008165,-0.081571765,-1.2389259,0.45298314,-0.014944823,0.97402495,1.06584,0.570523,0.39003298,0.077405736,0.02985286,0.13411932,-0.044143364,-0.16487043,0.13635503,0.3432474,0.191023,-0.097919516,0.5743805,0.8454394,0.02534531,0.10269326,0.45773813,0.22939055,0.500226,0.5434091,0.6720767,-0.044670936,-0.25125587,0.19197951,0.3980008,-0.1909961,0.6614969,1.0173731,0.70366323,0.8002053,-0.6444386,-0.14605232,0.3369718,0.029232036,0.10651932,0.07906375,0.4751553,0.41819504,0.43926725,1.0525964,0.2608753,-0.10426107,0.38838547,0.20866928,0.9914342,0.62831354,1.141236,0.54461104,0.98693025,-0.26295424,0.31026286,-0.6720319,BENIGN
10.0.0.124-10.0.0.125-3231-80-6,10.0.0.124,39450,10.0.0.125,443,17,03/07/2017 00:18:44,-0.97795635,-2.2922456,-2.4304948,-1.9406633,-1.4662489,-1.5535283,-2.4787316,-0.9794586,-1.4376153,-1.9493283,-0.9881962,-1.77247,-2.082417,-2.1623752,-2.4718492,-0.7811672,-1.4463264,-1.7298818,-1.9912645,-1.6494749,-1.7473364,-0.5349174,-2.537655,-2.1475713,-1.218269,-1.5592192,-1.607376,-1.4437343,-1.010007,-2.1826694,-2.6550565,-1.9069134,-1.5334638,-1.0521522,-0.9463121,-1.9467874,-1.0594715,-2.4041169,-2.1818955,-1.989926,-2.4960167,-1.4199021,-1.1152107,-2.3101742,-0.9623476,-1.8048934,-0.094400026,-3.3424838,-0.37064347,-0.7578626,-1.9572344,-1.8663082,-4.081732,-1.9085464,-2.6540134,-1.6039361,-1.5716642,-1.429878,-3.3247669,-2.3462682,-2.0448308,-1.0861706,-0.8066336,-1.6370817,-2.2235155,-1.9132229,-2.8503368,-2.0162055,-1.8483474,-1.4285017,-2.0756266,-2.8581324,-1.5811771,-2.291266,-0.9122989,-1.6574898,-1.6750363,PortScan
10.0.0.195-10.0.0.196-51059-80-6,10.0.0.195,22389,10.0.0.196,23,6,03/07/2017 00:19:55,-1.9839964,-1.8181385,-1.9257998,-2.49271,-2.0678596,-2.6571333,-1.8406378,-1.9096557,-1.3590288,-1.9374636,-1.8102248,-2.581875,-1.9831477,-3.0407524,-2.9006066,-2.032909,-0.6394843,-3.8079324,-3.0177355,-2.6552713,-2.0923138,-2.5155025,-3.3075042,-1.8052261,-0.77408546,-1.2376076,-2.3347216,-2.8654354,-1.5171403,-2.1068463,-2.3810227,-2.4650474,-1.7026513,-1.9735353,-1.288902,-1.4052154,-0.9574923,-2.7335598,-1.7377225,-2.315358,-1.8077649,-1.3960149,-1.3957736,-2.550788,-2.0632036,-0.86147517,-1.7085075,-3.297178,-0.9211521,-2.8748064,-1.7909987,-0.8775762,-3.0558803,-1.4175844,-1.778543,-1.805021,-2.82936,-0.90281665,-1.6834003,-2.641736,-1.6593081,-1.9618717,-0.92726946,-1.0552707,-1.218265,-2.810152,-1.8742205,-0.93819165,-2.2987058,-1.8627868,-1.5296719,-1.9366246,-2.4726646,-1.1555527,-0.39811248,-1.4504398,-1.5272645,PortScan
10.0.0.164-10.0.0.165-21251-80-6,10.0.0.164,49229,10.0.0.165,23,6,03/07/2017 00:26:04,-0.26384297,-0.3802299,-0.30296475,0.04451531,0.704418,0.61302656,0.052597042,1.1015979,0.5578887,0.4256481,0.65435946,-0.08019154,0.27782285,0.12954319,0.6906571,-0.41064426,0.8915364,-0.16238075,0.276275,0.43403143,-0.52577215,-0.19130819,0.22955495,0.67304003,-0.2865172,-0.04083693,0.8207753,1.3645141,0.4918799,0.27646533,1.0618637,-0.4255821,0.3363804,0.05003254,0.7265765,0.5558171,0.21677305,0.7650706,0.8477079,0.77991146,0.05751795,-0.6595869,1.0004021,0.3827607,0.34550434,0.6664674,-0.37364423,0.054749936,0.5358293,0.42146233,0.01655111,0.6662454,-0.010847345,0.60887456,0.21431099,0.09059628,1.494094,-0.7901478,0.6063654,0.90205646,-0.5823559,-0.35994098,-0.2706717,0.4771962,0.08845353,0.6355131,0.4650954,-0.3852304,0.88438934,0.063342236,0.6401404,-0.39422628,0.24644303,0.7232959,0.023836145,-0.2972975,0.1160619,BENIGN
10.0.0.133-10.0.0.134-33845-80-6,10.0.0.133,31923,10.0.0.134,8080,17,03/07/2017 00:12:13,-1.8035185,-1.3820118,-2.912995,-1.7903024,-1.1871437,-2.9925146,-2.335556,-0.32537752,-0.8863194,-1.9227128,-2.1486278,-2.1486938,-2.3509684,-3.0874798,-1.9522274,-1.0941371,-0.54745287,-2.9385154,-1.740673,-1.7020255,-2.4728873,-3.332245,-1.5486189,-2.9670277,-1.8490015,-0.97868395,-1.9550837,-2.4357903,-1.3283185,-1.4416584,-1.9612745,-1.585275,-1.4689887,-2.910454,-1.6136795,-1.7373389,-1.0514917,-2.2358775,-0.8434073,-2.1187265,-2.3283377,-2.6543767,-1.0855836,-2.595779,-1.3191497,-1.8056595,-1.4312652,-1.5923294,-0.6725876,-2.8317363,-1.06913,-1.7166916,-2.4598095,-2.4033587,-1.5592287,-1.647208,-1.9734329,-0.7909372,-2.9797068,-0.8603127,-1.7237364,-1.4265833,-1.7186427,-0.6498352,-1.633877,-1.934747,-1.7497748,-2.4938624,-1.7905698,-1.2772144,-2.4707313,-2.4516947,-1.0191475,-1.8772798,0.049140766,-1.8060398,-1.870053,PortScan
