Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min, Label
10.0.0.3-10.0.0.4-25709-80-6,10.0.0.3,45639,10.0.0.4,443,17,03/07/2017 00:26:43,0.8006208,0.8699254,0.0700075,0.32942957,0.2216766,0.3530748,-0.04016456,0.11750517,0.44875368,0.7283218,0.3712896,0.66192263,0.29131407,0.09513727,0.66444415,-0.14826459,0.103008255,0.5880501,-0.17297286,0.25557613,0.53946596,0.6345588,0.829021,1.1028707,0.09311546,1.0716113,0.17038952,-0.057982378,1.4137528,0.14138784,0.28273132,-0.042873517,0.46366954,1.0693763,0.043374147,0.17248785,0.27169484,0.027343642,-0.86243767,-0.7076292,-0.12108827,1.1836331,0.57678944,1.005879,0.60544467,0.7180561,-0.1547562,-0.9943215,0.27116692,0.42171153,0.80512065,0.6126944,0.42549598,0.41778666,0.49804297,0.5681196,0.14998479,-0.08369221,-0.26536912,-0.35496485,0.31301954,0.36751226,-0.094903,0.7096505,0.09372894,0.1795544,0.54813194,1.188775,-0.023082599,-0.11447161,-0.16241442,0.20382023,0.75596166,0.77410066,-0.25861803,-0.18530904,-0.33107924,BENIGN
10.0.0.42-10.0.0.43-46429-80-6,10.0.0.42,28690,10.0.0.43,23,6,03/07/2017 00:04:02,1.0970098,0.103610046,0.82899916,-0.76773995,2.1042383,1.56585,0.70495754,0.5299265,0.31529036,-0.15131082,0.85426426,0.9305364,1.86886,0.38183737,2.506106,-0.9974182,0.63565415,1.04699,0.744132,0.91899675,0.7932366,-0.63537705,-0.76733357,-1.6026785,1.7313178,0.53417873,0.937037,0.26382607,0.19594531,0.07836416,0.71262527,1.8682946,1.3774928,1.5713397,0.74641603,0.79081285,1.8378396,-0.96971893,-0.6981276,2.1056776,-0.48445168,-1.1680857,0.0031283011,0.106583774,0.119404934,2.8546517,0.44318062,-0.45278844,-0.39808184,0.012170672,-0.12234313,0.21438837,1.0014812,0.16672337,0.7113135,1.0620356,0.20532162,1.4804155,2.2005122,1.2442843,0.759917,1.0390147,-0.043216508,-0.0014611721,0.6349354,1.3841242,1.117635,1.9597555,0.58471686,-0.57039505,1.0332488,-0.0024255167,-0.20038015,-0.6817684,1.5027392,0.61645806,0.6099596,Bot
10.0.0.6-10.0.0.7-22021-80-6,10.0.0.6,21558,10.0.0.7,23,17,03/07/2017 00:20:06,0.10635992,0.5245769,0.17865801,-0.31914583,0.06943559,0.042357367,0.37621316,0.9797729,0.90319085,0.19213197,0.14860027,0.5867725,0.25136578,0.30893773,0.26038355,-0.008277132,-0.029471125,0.9710775,0.19372347,1.1575577,0.15782848,0.3752818,-0.30945662,-0.524063,0.19908279,0.06164314,-0.1916867,0.7693311,-0.3169242,0.73982763,0.15086755,0.3044599,0.54892886,0.7905698,0.20966598,0.015655234,0.35525173,-0.44129252,0.9174241,-0.7639862,-0.086840644,-0.05989758,-0.5536971,0.63689756,0.20966709,0.8701575,-0.018463189,0.23301487,0.9356786,0.62575114,0.4288326,0.06178771,0.9521141,-0.4513216,0.79637563,0.12958658,0.29906908,0.28489953,-0.107545905,-0.079724744,-0.14691241,-0.24700484,0.12946789,0.7916607,0.75473684,0.44474992,-0.04026863,-0.16927512,0.09478979,0.027239121,0.8578809,0.25566313,0.20673396,0.57074267,0.42087233,-0.327095,0.17069769,BENIGN
10.0.0.43-10.0.0.44-34356-80-6,10.0.0.43,51458,10.0.0.44,53,6,03/07/2017 00:00:43,0.88626003,-0.13900557,0.33249146,-0.3802137,-0.37151736,0.1585408,0.5519375,0.4517197,-0.007317935,0.13675322,0.900812,0.7884779,0.39092383,0.861213,0.9726984,0.109515294,-0.4747026,0.60791916,0.33689842,0.2601221,0.32563695,-0.36922124,1.0065607,-0.91363347,0.7138169,1.0971762,0.046059467,0.91712296,-0.40981522,0.88595665,-0.31503427,0.19810098,0.1680144,-0.2073728,0.20619513,0.64509386,0.09968711,0.010416931,0.33143893,0.48356113,-0.12316239,0.25090712,0.007002827,0.8381426,-0.18291241,1.6358476,0.3350265,1.095451,-0.01095912,0.17296115,0.5030036,-0.51016384,-0.23808503,0.037751146,-0.010659903,0.48926985,0.020277921,0.5666116,-0.006423385,-0.6581331,-0.29974318,0.06941359,0.8553028,-0.048445024,0.22048733,1.0472218,0.42232174,0.3099733,0.7806227,0.6250281,0.2909917,0.39730963,0.49225074,0.8465231,0.68147725,-0.05553768,0.12226568,BENIGN
10.0.0.28-10.0.0.29-31895-80-6,10.0.0.28,18178,10.0.0.29,443,17,03/07/2017 00:10:28,-0.114421606,-0.50243723,-0.31787136,0.022000264,0.21397245,0.0060390313,0.32895425,-0.20744365,-0.23815754,-0.61985904,0.5409355,0.4780246,-0.0459449,0.933849,0.2691056,-0.20401883,1.461915,0.0688286,-0.26761177,0.44255525,-0.25728822,-0.20954669,0.55037963,1.3225553,0.63517976,-0.28778785,0.12524961,-0.32383838,0.39187008,-0.24954416,0.25025514,0.090277486,0.1658714,0.6640755,0.34087035,0.6137751,0.1786145,0.29139352,0.25970107,-0.31436512,0.55567074,0.29237586,0.53018516,1.090894,0.10305094,0.8824572,-0.022281451,-0.3444245,0.5434688,0.87200403,0.33412957,0.42583054,0.8267774,-0.15548423,0.41726553,-0.016206041,-0.23306948,-0.042399935,0.39591172,-0.46732318,0.70454866,1.0548897,0.80332893,0.6691299,0.69101125,-0.3107816,0.095369995,-0.018328348,0.18663236,-0.1601294,0.6541622,-1.06355,-0.34798393,0.36924425,0.25982088,0.14952932,-0.79123193,BENIGN
10.0.0.150-10.0.0.151-13550-80-6,10.0.0.150,33230,10.0.0.151,53,17,03/07/2017 00:15:50,-0.05579376,0.48565462,0.1610263,0.061965194,-0.16921689,-0.19150454,-0.035621256,-0.20682816,0.9144341,0.22100799,0.6214228,0.5080398,0.003441495,0.5019723,0.87234646,0.30284998,0.7443728,0.2903454,0.32951736,0.57131857,-0.6606793,0.5220861,0.11308866,0.7940133,1.1884068,0.39135405,0.2652858,0.71356916,0.59344554,0.04796542,0.36772636,0.4973189,0.6364382,-0.10752057,0.38244653,-0.20693079,-0.0019580491,0.16926761,-0.013067372,0.1263548,0.53839964,0.47144818,-0.50051767,-0.13003209,0.12782547,-0.47671044,-0.29711893,1.4227381,1.1488199,0.29210213,0.08900722,0.43453303,1.1727793,0.48723152,-0.0450181,0.5565738,0.2650065,-0.86048186,1.1031126,-0.20065017,0.289521,-0.39376464,-0.013648884,0.73546284,0.8926863,1.1519247,0.022348993,-0.13404979,-0.54260623,0.75433034,0.62084615,0.88747257,-0.15383951,-0.35345986,-0.6042591,0.098758,0.04468792,BENIGN
10.0.0.135-10.0.0.136-9423-80-6,10.0.0.135,14484,10.0.0.136,53,6,03/07/2017 00:05:35,0.455441,0.15606561,0.21765076,-0.3629746,0.06253515,0.29800892,0.54560107,0.0010189903,-0.006134598,0.039220423,1.1222353,-0.28064528,-0.3505549,1.3317528,-0.095759355,0.39932624,-0.35977048,0.44663048,-0.23560788,-0.22534847,0.25481835,0.283102,0.5061855,-0.3037812,0.9003532,1.281864,0.21034558,0.121909656,0.06960558,0.23769446,0.26093277,0.6565896,1.202743,-0.1704075,0.16832323,-0.10778163,0.5275482,0.116105765,-0.018965928,-0.07877861,1.0444604,0.54821974,-0.8507579,0.14402157,-0.14120035,-0.77031314,-0.027855866,0.3181702,0.022680508,0.42172953,-0.10716354,0.17587653,0.759397,-0.01930195,-0.28726664,-0.15011637,-0.095106125,-0.051769692,-0.5852243,0.20297086,0.10013824,-0.12864023,1.3129591,-0.18831708,0.08223236,0.31904766,0.3542322,-0.5630302,1.1741819,-0.04809871,0.13930345,0.38477233,-0.51442,-0.2516986,0.19697973,0.4315127,-0.030251607,BENIGN
10.0.0.9-10.0.0.10-7081-80-6,10.0.0.9,7099,10.0.0.10,80,17,03/07/2017 00:03:29,0.016951043,0.8708017,-0.6656764,-1.2212108,1.6277919,0.51865613,1.6586124,0.08915036,0.068673246,0.267779,-0.049739603,1.0090117,0.8638447,0.62549126,1.1542499,-0.45772585,0.32526225,-0.43781516,-0.29552352,1.1002831,-0.9144707,0.26441008,1.4754688,0.92997813,0.42816073,-0.30118275,0.10125965,0.5200631,0.08644734,0.31535566,0.20429707,2.097504,0.9060142,2.6135457,0.55614716,0.535574,0.63564587,-0.24556825,0.84950894,0.76575625,0.04944277,-0.16987923,0.5968067,-0.52509123,0.75179964,1.3126588,-1.547253,0.9782544,-0.53209805,3.9190014e-05,-0.5628099,0.9623319,-0.40127176,0.0633306,0.5852615,-1.6276299,2.113283,2.1992407,1.7657641,0.9794226,1.3446523,1.6011534,1.3480623,1.5998771,1.5937048,0.58918923,-0.38836908,-0.17621009,0.5082526,0.34119955,1.701083,0.37602395,0.09107231,-0.52447957,1.5395849,0.9551899,-0.078200474,Bot
10.0.0.16-10.0.0.17-13046-80-6,10.0.0.16,56673,10.0.0.17,8080,6,03/07/2017 00:00:16,0.5771242,1.823365,0.5053338,-1.118422,1.1097835,0.7622455,1.398459,0.9603782,0.51924044,-1.5182942,0.8995115,-0.4170531,1.2906611,2.0886817,2.3159907,-1.2901545,1.4155173,0.2244626,0.880185,0.9289823,-0.5071526,1.1262032,-0.024130618,-0.575318,0.89779294,0.32230896,0.46234176,0.83228534,0.25891966,-0.2869861,0.43470684,1.4744946,0.8339305,1.0777756,0.5280248,1.3406116,0.72368395,-0.8911621,-0.20450315,0.7883401,-1.3749176,-0.4870554,-1.4815929,-0.5015141,2.740485,1.8786292,-0.28668967,-0.24035798,-0.50131613,0.19535941,-0.14460857,1.4333327,0.47947177,-0.5668276,0.14250706,0.31223008,0.43877962,1.7905636,1.4721227,1.5380049,0.9396192,0.65654194,-0.27654544,0.3861697,0.5034526,1.3271511,2.527187,1.8893209,-0.0804958,1.8912563,0.36492333,0.261322,0.26607075,1.1187906,0.29269025,1.3156387,0.48489648,Bot
10.0.0.50-10.0.0.51-43318-80-6,10.0.0.50,26093,10.0.0.51,443,17,03/07/2017 00:44:10,0.09318491,0.074136175,0.48504114,-0.2668453,0.45722392,-0.19147441,-0.09871775,-0.22875963,0.26162755,-0.09712599,0.98514605,-0.18165596,0.16469358,0.14367393,0.62066156,-0.21515049,0.24904896,-0.6373571,0.0015759151,0.19579142,0.44029784,-0.11880715,0.96420705,0.15039484,0.52540636,0.3271913,0.49455374,0.7399917,0.95571935,0.4505696,-0.2947334,0.095494784,-0.13973759,-0.5748213,-0.009939082,-0.5555811,0.2011638,0.8221302,1.3390573,0.9762497,0.18845479,0.51457065,0.17936638,0.744407,0.20630048,-0.16727787,-0.8789922,0.51380104,0.45717296,0.563721,0.6382641,-0.37992483,0.19992536,-0.3853488,0.51850015,0.49935475,0.08319426,-0.57822984,0.43932158,0.15644613,0.37689835,0.58026624,0.8454033,0.45585093,0.999032,0.69451195,0.4652622,-0.023508491,0.024723742,-0.15083942,0.58848006,-0.4545353,0.24424525,0.0074921977,0.5481723,-0.22141643,0.48360547,BENIGN
