Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min, Label
10.0.0.164-10.0.0.165-21861-80-6,10.0.0.164,53183,10.0.0.165,23,17,03/07/2017 00:46:04,-0.105570845,1.4349555,0.25177148,0.40050963,0.36894998,0.124197006,0.35221428,-0.29826218,0.33468664,0.6597231,0.5652426,0.39672518,-0.29913288,-0.6536775,0.4990166,-0.17888068,0.3547909,0.6004576,-0.40578145,-0.024436584,0.4096823,-0.65592563,0.7887997,0.69066685,0.6233132,0.21068855,0.079774514,0.10133633,-0.53589255,0.20026836,-0.24506201,0.24967897,0.7202738,0.60718876,0.16274235,-0.23114893,-1.0039666,-0.2854645,0.38980395,-0.08500181,-0.075461686,0.3576548,1.0024436,-0.5544673,-0.4998027,0.2578072,0.44325924,0.64693016,0.5445302,0.64071476,0.47809768,1.0554609,-0.21402672,0.4078973,-0.09746611,0.49764276,0.72441137,1.165299,0.5790377,-0.0288498,0.6439754,0.54916495,-0.29923218,-0.3092088,0.057888176,0.112405375,0.60296714,0.5745892,0.6628719,-0.057797544,0.43751773,-0.09178451,0.50144285,0.958398,-0.13732587,0.091955915,0.01124514,BENIGN
10.0.0.167-10.0.0.168-52046-80-6,10.0.0.167,32943,10.0.0.168,23,17,03/07/2017 01:19:27,0.4816141,0.054894608,-0.26639986,0.14456755,0.1317439,0.25955218,0.2591092,-0.33028668,0.2821512,-0.259273,0.81643265,-0.3988012,-0.5663849,0.08902335,0.36614352,0.9146882,0.1253754,0.44337285,-0.43493077,-0.08123872,0.006115431,-0.5471898,-0.32603422,-0.03623279,0.21755943,0.11462566,0.90232646,0.768081,0.17980789,-0.7737503,0.029923944,1.3450272,0.19870132,1.0107089,0.40409276,0.89026004,-0.21013811,0.6568851,0.66094124,0.7363216,0.235652,0.30159158,-0.2633783,0.56614155,0.65749574,0.36160895,-0.1996266,0.09117105,0.106320605,0.058060348,0.48347262,0.30363575,0.100535385,0.5960255,-0.38337493,-0.5180702,0.46458864,0.36341244,-0.15970705,-0.31922707,0.7475344,-0.9978883,-0.0011737962,0.21478681,0.30949494,-0.118001126,-0.09284366,0.21325752,-0.36162224,0.92042184,-0.20817512,0.6968249,0.28260872,-0.35019445,0.6145126,0.23367515,-0.27236053,BENIGN
10.0.0.14-10.0.0.15-35992-80-6,10.0.0.14,56387,10.0.0.15,8080,17,03/07/2017 01:03:34,-0.40358734,0.06482214,-0.95282656,0.3085528,0.2808246,0.39353392,0.29118073,0.08057186,0.3044847,-0.5896246,0.82372916,0.50683075,-0.11244399,0.23154823,0.42026475,1.4029821,-0.2400852,-0.11699897,-0.09656568,0.10885036,0.9252161,0.038451552,1.3009716,0.91047496,0.39268297,-0.31212562,0.1116086,-0.11468517,-0.32136536,1.2368845,0.32635176,-0.9210094,0.28556848,0.3456446,0.18856719,0.29795358,0.5859819,-0.08695127,0.43448347,-0.79286045,0.1476815,0.20777488,0.22593403,-0.34380016,-0.61287105,0.32946432,0.5234128,0.084819965,-0.29345948,0.28795192,0.34032974,0.6673572,0.2428924,0.2483645,1.1054143,0.6881658,0.48276904,-0.13052045,0.27581003,0.9317956,-0.54626423,0.750913,0.23588271,0.37514147,0.5404703,0.66600144,0.37083894,-0.16448793,0.18875568,0.47825596,0.2961913,-0.19594671,0.5442045,0.5704874,0.22716579,0.51276034,0.056337684,BENIGN
10.0.0.99-10.0.0.100-45010-80-6,10.0.0.99,44982,10.0.0.100,21,6,03/07/2017 00:58:19,-0.03459177,0.031007696,-0.35812247,0.5829406,0.4850141,0.047176786,0.20273602,0.21774918,-0.05232519,0.051748667,0.59062827,0.5808313,-1.1718358,1.2964686,0.33907592,0.40893283,-0.23360829,0.6009151,-0.035699982,-0.37612233,0.8080245,0.29519555,0.24560834,0.2840062,0.82389456,0.17539836,0.7028828,0.4499059,-0.14957297,0.18267505,0.5649024,1.4847558,-0.5953358,0.42427596,0.15870051,0.56860334,1.0353342,0.81673956,-0.08051314,1.0055958,0.07867444,-0.53886837,-0.3066362,0.41046712,0.9788033,0.62509936,0.6295156,-0.13375108,0.31113854,0.07534273,0.9304825,-0.11917456,0.7059682,0.5047246,1.1861433,0.72162265,0.8204768,-0.105124846,0.7909196,0.9531352,0.22973108,0.8493294,0.4387663,-0.024988238,0.017403258,0.6629918,0.609852,0.45771763,-0.3502052,0.2600158,0.3681637,-0.078397386,0.64799845,0.035309978,0.62619334,0.11759168,0.14836867,BENIGN
10.0.0.135-10.0.0.136-30941-80-6,10.0.0.135,24151,10.0.0.136,23,17,03/07/2017 00:45:35,0.3502353,0.7966545,0.24200891,0.53613526,0.1165081,-0.2485674,0.5920957,-0.016894726,0.2881515,0.3987147,0.5618382,0.010114353,0.044952895,0.4337162,-0.2966425,-0.23449364,0.10588936,-0.042546965,0.5304699,0.28703764,0.88054657,-0.13596973,0.7707745,0.8566053,-0.016171014,-0.27393055,0.2701011,0.31906646,-0.22426647,0.08680691,0.17829072,0.41114473,-0.08102722,0.84768546,0.24189968,0.11887127,0.8843653,-0.3634568,0.45789298,0.8282427,0.1919496,0.36990997,0.9825163,0.6508943,0.59514195,0.6265331,0.1979676,0.1684431,0.33201772,1.0817178,0.26030433,0.5857702,0.28519917,0.3918459,-0.45010075,-0.13810119,0.716287,0.29485464,0.510253,0.28108016,0.062281873,-0.30080152,0.9985745,0.660222,0.05444835,-0.06668608,0.35032767,0.53919333,0.28362793,0.2815121,-0.39075965,0.54234,0.6359485,0.20173536,0.2145196,-0.103208244,1.341427,BENIGN
10.0.0.122-10.0.0.123-4248-80-6,10.0.0.122,43276,10.0.0.123,8080,17,03/07/2017 01:05:22,0.91572225,0.30935663,0.390585,0.8935965,-0.23636307,1.5159873,0.36330688,0.5376667,0.64299196,-0.72907585,0.09832778,-0.3790471,0.72563505,0.12321719,-0.35685727,0.64130706,-0.49920142,0.008611013,0.71786183,0.4756259,0.7121705,0.8136144,-0.10348179,0.30419394,1.2552061,1.2264419,0.81100357,-0.03216521,0.58278084,-0.032176793,0.79141414,-0.045508966,0.8407283,0.015599886,0.78666645,0.25432867,-1.2491438,0.6201308,0.08410888,0.3911175,0.22813345,0.12292952,0.36981365,0.101917356,1.1432872,0.65610224,0.43450204,0.25621644,1.1102694,0.78094727,0.54594076,0.4603547,0.06857591,1.3895087,-0.11513847,0.36497036,-0.8352927,0.63140905,0.23719524,0.59262073,1.0193317,0.094171904,0.10886287,0.17198165,0.7040618,0.098711595,0.44176254,0.35387656,-0.16519362,0.04907683,0.29992846,0.2813836,0.1995455,-0.23523435,0.48206258,-0.066944025,-0.19151731,BENIGN
10.0.0.101-10.0.0.102-1509-80-6,10.0.0.101,58534,10.0.0.102,443,6,03/07/2017 00:45:01,0.739368,0.70725006,-0.2546853,0.9744466,0.19864047,0.42742932,0.04008374,0.50623506,-0.054252572,0.18754075,0.77848876,0.5560239,0.41022077,0.0734439,0.42321068,0.61567026,-0.28064522,0.39319187,0.033567898,0.039087813,0.37461492,-0.18469979,0.21152233,1.0194992,-0.3623747,1.0531224,0.88321537,0.5041984,0.058314323,0.95024794,0.16332547,1.9303411,-0.0796164,-0.08432081,0.16195813,-0.021599,0.2903891,-0.35054395,0.0072957487,0.2853521,0.54874814,-0.09346283,0.2732556,0.04411767,-0.39022076,0.9194092,0.4258374,1.0200027,0.40191594,0.5306749,0.34711406,0.48546937,0.24786077,0.5077766,0.0609964,-0.2224608,0.59971887,0.5693329,0.82559526,0.28298748,-0.45278847,0.459267,-0.32812518,0.91205496,0.4553708,0.8722742,0.19893163,0.58955115,-0.059425086,0.904233,-0.0027635663,0.5479379,0.6900497,0.13373137,0.42607096,0.07910613,0.6952274,BENIGN
10.0.0.179-10.0.0.180-34715-80-6,10.0.0.179,46581,10.0.0.180,80,17,03/07/2017 00:19:39,0.4307999,-0.3376136,-0.24006793,-0.13250628,-0.14043769,-0.3112102,1.1155168,-0.49628153,0.46786243,-0.0036018714,0.679441,0.19772452,0.4129885,0.69815373,-0.31246144,0.014180722,0.42943302,0.6877324,0.11594309,0.34870994,0.93986726,0.5084604,0.52163875,1.402936,0.08431548,0.6323167,0.5956633,-0.39817503,-0.1943294,0.5506223,0.41633883,-1.1977094,0.26366025,0.97166127,0.23565914,0.525167,-0.21130231,0.13213532,0.06570843,-0.1325545,0.6027924,-0.108825736,0.20918974,-0.5581504,-0.43107682,-0.54800373,0.66500956,0.65172964,-0.018806335,0.18868937,0.34885147,0.0494668,0.15453574,-0.08511647,-0.16585465,-0.011139119,0.875375,0.934083,0.59195805,0.5760768,-0.33649278,-0.16838138,-0.28382757,-0.2282352,1.0074681,0.32700014,-0.060839526,-0.49921992,-0.23127559,0.42985693,0.2838048,0.5946292,0.70610535,1.3755304,0.04989738,0.07998074,0.8617298,BENIGN
10.0.0.132-10.0.0.133-10091-80-6,10.0.0.132,31900,10.0.0.133,80,6,03/07/2017 00:15:32,-0.5539433,0.19995436,-0.5063339,0.84707844,0.08283792,0.8187765,0.4948508,0.9750633,0.5741633,0.43761173,0.31999406,-0.2302194,0.5387016,0.11217288,-0.7785962,0.3952903,0.17364947,-0.28716508,0.2629554,0.58336544,0.12514357,0.07335114,0.4480865,0.53809047,0.41207278,0.88034344,-0.18588611,0.5131072,-0.21260723,0.66067994,0.89313537,-1.0663245,-0.0042668213,0.08376281,0.76083726,0.47435224,-0.25493,-0.1747966,0.6293312,0.16558827,0.05922838,0.20424962,0.8552948,-0.5167239,1.4742478,0.3449448,0.6039924,-0.037370477,0.29920083,0.9988726,0.7422136,0.97119784,-0.17290254,0.16546884,0.36992392,-0.012556036,0.44623965,0.740905,-0.5479923,0.5354262,0.03579851,0.47640035,0.21049604,0.1591707,0.24326563,0.5338701,-0.2819034,0.1464364,0.73724407,0.5798117,-0.66577315,0.3369395,0.5713096,-0.24990846,0.6305422,0.012962735,0.055462528,BENIGN
10.0.0.192-10.0.0.193-32053-80-6,10.0.0.192,20022,10.0.0.193,8080,17,03/07/2017 00:13:12,-0.32485548,0.4013377,1.0077004,-0.02084932,0.44309986,0.33776292,0.7566523,0.99565685,0.376818,0.9830434,0.6573699,0.19008031,-0.14040552,1.6607715,-0.31487677,-0.16036183,-0.037412226,0.92044896,0.4941337,0.58293504,0.3431538,-0.297091,0.19637907,0.54833746,-0.13599148,0.19714202,-0.1520916,0.9401347,0.0810713,0.35003516,0.5115965,-0.5665376,0.26155296,-0.2192689,0.44538578,-0.4047462,0.4887889,-0.22162807,0.015864138,-0.6950125,0.24873844,-0.10090022,0.08575747,-0.5235314,0.73556304,0.25503325,0.29278255,0.5722505,-0.9337324,0.15341453,0.72402334,-0.13347283,-0.36324626,0.16354254,-0.31271175,0.29113492,0.4967447,0.46273714,0.68628216,-0.030078486,0.76926064,-0.67780167,0.4588036,0.032591917,0.046894543,-0.32343954,-0.06731647,0.967992,0.19434209,-0.3032906,0.9682352,-0.0044771666,0.57477605,0.3754261,0.5851939,0.5091002,0.9051137,BENIGN
