Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min, Label
10.0.0.12-10.0.0.13-47879-80-6,10.0.0.12,18577,10.0.0.13,80,17,03/07/2017 00:46:52,0.47152925,0.7719171,-0.13362744,-0.34807932,-0.35205716,-0.3000343,0.66018265,1.2166884,0.5820616,0.8998412,0.057965018,0.8541661,0.11515382,1.0698627,0.3322332,0.71289897,0.20458105,0.1374013,0.6897062,0.7908842,0.0955357,0.6970554,-0.1342239,0.43360507,0.15800405,-0.3263158,0.574724,0.53351253,-0.0027293516,0.26135436,0.7408436,0.91787887,0.09258165,0.5190775,0.3719403,-0.46633428,0.19889507,0.39877045,-0.3008576,0.02513349,0.087374486,0.37784612,0.43243873,-0.07242909,0.49838063,0.379189,0.3894333,-0.11249891,0.21164982,0.41534463,0.6052793,0.87432534,-0.19294077,-0.52663016,1.0327221,-0.04926082,0.32430315,0.6006268,-0.2881662,-0.42084172,0.53693855,0.9389647,-0.018167295,-0.4940324,0.16435191,0.6458926,0.47888643,-0.07375011,-0.7196995,-0.0017320635,0.4051716,0.10814726,-0.20947535,0.22549745,0.29824322,0.3431153,0.6344318,BENIGN
10.0.0.29-10.0.0.30-16870-80-6,10.0.0.29,53483,10.0.0.30,80,17,03/07/2017 00:27:09,0.22782363,0.67266685,0.4476343,0.8753855,0.38489777,-0.09809063,0.3698195,-0.027428487,0.028951196,0.7681171,0.8589285,0.8697379,1.2394062,0.25926378,-0.43173435,-0.38711444,-0.32070854,-0.36962357,0.07704901,0.43511522,0.7757683,-0.21156363,0.37064207,0.6069442,1.1520044,-0.23325282,0.91651917,0.9022781,0.16735633,0.7019882,1.1399727,-0.20175551,-0.04493081,-0.10871735,0.8192765,0.12204575,-0.73604304,-0.4285452,0.12407376,0.2223755,0.36771125,-0.2739237,0.07151123,-0.011014277,0.28028178,0.27297115,0.15297915,-0.35851482,1.0251529,0.10745629,-0.1657789,-0.2651904,0.21454445,0.14929584,0.7096906,-1.1283094,0.6092753,-0.32858297,-0.074744046,0.5491901,0.7077619,-0.004403545,0.49448514,-0.12615158,0.21052104,0.3210232,0.53899467,0.6859342,0.39335686,0.35628054,0.64489067,0.111508355,-0.16167693,0.09199954,0.7024553,-0.84248066,0.15376392,BENIGN
10.0.0.170-10.0.0.171-25601-80-6,10.0.0.170,18134,10.0.0.171,23,6,03/07/2017 00:39:30,1.0743852,0.20386794,0.108023144,0.6764792,0.11120988,-0.06988532,0.48080063,0.25523192,1.018082,0.71657073,0.20059134,0.9833045,0.12023873,0.14622577,-0.17812194,0.27761143,1.4894037,0.060237184,0.21570845,0.7472544,1.0753449,1.2679688,0.2516978,0.2940034,0.62297064,0.16565807,0.3732015,0.95646757,-0.36827278,0.8997802,0.02224588,0.3615101,0.47892335,-0.3445585,0.152789,-1.2026616,0.06697635,0.03499827,-0.8710314,-0.28585377,0.42553896,-0.19984658,-0.19609414,0.21639457,0.33349708,0.104644805,-0.31556606,0.3708941,0.15459804,1.1550609,0.17362858,-0.43494424,-0.068046264,-0.13962916,0.025145832,0.66590697,0.15122421,1.372662,0.06677077,-0.104092866,1.043656,0.5622686,1.0636417,0.3105828,0.7191885,0.67673653,0.25688252,0.10257454,0.78928643,0.37171558,0.97619456,-0.10258418,0.09874507,-0.01916042,-1.236163,-0.2622408,0.042731624,BENIGN
10.0.0.1-10.0.0.2-34406-80-6,10.0.0.1,25913,10.0.0.2,21,17,03/07/2017 00:06:41,0.24022397,-1.1917312,-0.2759712,0.41685218,0.7454542,0.45562252,0.63274646,0.52913743,0.4238518,0.6822998,0.5270815,0.75328344,0.2925011,-0.088043615,0.36575755,0.72520965,0.34298566,0.40395486,0.2896385,0.9141759,0.30559304,0.010247128,0.1909967,1.1429497,0.64792913,-0.075770445,0.6250879,0.81389415,0.56549305,0.19574773,-0.19356838,0.2584026,-0.19254942,0.3456685,0.6699473,-1.3899013,0.9851402,0.20966947,0.10923586,-0.3382536,0.68363184,0.15091969,1.3847573,-0.9470143,0.014084597,-0.36769497,-0.07372004,0.46676612,0.46108016,0.33197114,-0.030230446,0.19383675,1.1673495,-0.60121375,0.97360516,-0.109135516,0.46482942,1.0003471,0.37762034,-0.19107406,0.75127465,0.75691545,0.24480073,0.12485076,0.28186926,0.7042486,-0.030249769,-0.35094488,0.828187,-0.06583472,0.88735086,-0.24420224,0.19646977,-0.076100215,0.7519348,0.1148562,-0.15553564,BENIGN
10.0.0.39-10.0.0.40-45542-80-6,10.0.0.39,51691,10.0.0.40,80,17,03/07/2017 00:43:59,0.4472006,0.08585916,-0.37219277,-0.9799638,0.5551759,0.057814345,0.6909872,0.61568815,0.928619,0.07838841,0.16816317,-0.17635907,-0.6078609,0.49130866,0.30619484,0.8902705,0.3140976,0.91698694,0.7835554,-0.38847744,0.14825521,1.4168377,0.4428129,0.79550695,-0.9249213,0.8602023,-0.30050546,-0.7073369,0.28121915,1.2598468,1.2389855,-0.08582792,-0.061489604,-0.6579223,0.34506622,-1.0021306,-0.13988489,-0.47536325,0.04014734,0.38898653,0.42874515,0.17308827,-0.24882762,-0.052852225,0.73924565,0.09806262,-0.5239259,1.2711059,-0.47540125,0.31443933,-0.0766645,-0.048662562,0.69636273,1.4820443,0.17562288,0.21238042,0.039958782,0.5574867,-0.6933071,0.89249927,0.3908017,1.0375918,0.23096101,-0.63909775,-0.43172568,-0.6477305,0.13588725,0.119734086,0.15079784,-0.04416462,0.37096488,-0.29513663,-0.2226624,0.16066709,0.4932031,0.34157863,-0.030759817,BENIGN
10.0.0.198-10.0.0.199-24942-80-6,10.0.0.198,43805,10.0.0.199,80,17,03/07/2017 00:19:58,0.30903563,0.33010462,0.6158474,-0.57845354,0.334177,0.080630705,0.8264786,-0.3332527,0.54753244,0.65523756,0.45742306,0.06421319,0.08041161,1.2313088,0.22823259,0.07859291,-0.6775489,0.33851174,0.472756,0.7489286,-0.4321937,0.7698577,0.7903857,0.43699175,1.2332853,0.038267653,0.5033737,0.48504463,0.4441621,0.26040128,-0.08394603,0.40476462,0.7380684,0.5587708,0.3952716,0.77308697,-0.20002356,-0.49214095,0.5243855,0.17064011,0.71216774,0.18426198,0.27736056,-0.11091698,-0.038476594,0.4303514,-0.25379884,0.38426843,-0.043994922,0.57491595,1.0681157,0.7110682,0.2947492,0.50692075,-0.16798757,-0.30438867,0.6595761,-0.40734795,0.1753204,0.19395564,-0.26396164,0.13172778,0.71109366,-0.3488544,0.17537537,0.77635336,0.22502014,0.8849397,-0.49951383,1.2914872,0.24446055,-0.13180442,0.01395395,0.3364642,-0.033483274,1.0018599,0.28588495,BENIGN
10.0.0.29-10.0.0.30-52175-80-6,10.0.0.29,24204,10.0.0.30,53,6,03/07/2017 00:17:09,0.62495977,-0.009047272,0.1187965,-0.63386756,1.3385688,-0.14526656,0.19835354,0.007011211,0.24795301,0.56554514,0.15961447,0.83936286,0.4067921,0.82216674,-0.77298325,1.0680938,-0.06595511,0.21873198,0.45860332,0.22806801,0.03268215,0.40107965,0.15858845,0.4273748,0.16823795,1.0538275,-0.08696201,-0.08201943,-0.6772784,0.7698347,0.34055385,0.6334488,-0.31002066,0.8504882,1.0561429,-0.11235852,-0.6289428,0.7624026,-0.13958406,0.03842658,0.0119656855,-0.012313177,1.3120403,-0.105344124,0.47959602,0.58469105,0.044273905,1.8132358,1.0401467,0.4799361,-0.029560076,0.68717974,0.35677224,1.1970108,0.681882,-0.18172355,0.83772576,0.18568161,-0.025497545,-0.33852556,1.307567,0.26487038,-0.07914253,0.24322225,-0.23015198,0.38419947,0.09449511,-0.1522661,-0.22058237,-0.7436888,0.44723696,0.39487466,0.65156937,-0.17143825,-0.08119302,0.07851574,0.58772904,BENIGN
10.0.0.28-10.0.0.29-4481-80-6,10.0.0.28,12080,10.0.0.29,21,17,03/07/2017 00:07:08,0.080869034,0.5979141,0.2895851,-0.19814144,1.0502176,-0.71027315,0.16697319,-0.6459474,0.6536797,-0.17265996,0.6751757,0.04404217,0.3957683,0.22509718,-1.158494,1.2764052,-0.045148175,0.4026127,-0.07948879,0.8499189,0.9155687,0.99812025,-0.06987643,0.105643675,-0.52017975,1.0612117,-0.4366971,0.27417314,0.08396167,-0.3983011,0.5809254,-0.016419018,-0.88120073,0.43924084,0.4879177,-0.31808186,0.65214807,0.25548562,-0.42538542,0.86413634,0.18778889,-0.28511453,0.51119804,-0.061041377,0.32426476,0.37768155,-1.1993568,-0.0056437887,0.64286315,0.50258994,1.0009161,0.59982646,0.2725665,0.24355137,0.60219353,0.7160879,0.40458134,0.18510081,0.9104121,1.065844,0.6203292,0.6778874,0.5082173,0.46475375,0.07283333,0.23518285,-0.72025055,-0.3562815,0.2947345,0.8160712,0.035333257,0.48346704,0.047628876,0.26061815,-0.4897881,0.16663903,0.5589727,BENIGN
10.0.0.103-10.0.0.104-12954-80-6,10.0.0.103,20443,10.0.0.104,53,17,03/07/2017 00:38:23,0.18498318,0.087193735,0.374333,0.29926032,-0.28321812,-0.23632523,0.5772119,0.69485825,0.030287407,0.7023173,0.9318173,0.26769778,0.27446064,1.3299108,0.59131396,0.870336,-0.745111,-0.0705038,0.72058874,1.4123076,0.6157993,0.60169184,0.12639402,0.7614806,0.7650959,0.26946825,0.11268121,-0.27292606,-0.5034855,0.7269388,-0.14787292,0.1431715,0.55563766,0.5493243,-0.3692334,1.2372718,0.080365255,-0.6143095,-0.18791056,0.77637845,0.69826674,0.47398427,0.46716478,0.032038845,-0.090641014,-0.2558453,0.62417,1.1268498,0.8267351,1.1919128,-0.42115864,0.3424155,0.8801146,-0.5971344,0.18586534,-0.17178024,0.67894554,0.24726886,0.00116022,0.45710596,0.71012735,0.27531275,0.7341295,0.00049860403,-0.040432107,0.036506433,-0.19811569,0.44329548,0.40462115,0.1493977,0.7439373,1.0376452,-0.044094525,0.11066345,0.3760317,0.6571364,0.17423058,BENIGN
10.0.0.53-10.0.0.54-44456-80-6,10.0.0.53,59167,10.0.0.54,53,6,03/07/2017 00:30:53,0.5564823,0.17187317,0.32040176,-1.1792732,-0.8728143,0.36035475,0.51646566,0.115529135,0.35888064,0.9055117,0.14345282,-0.12527962,0.37409317,0.41020292,-0.35195604,0.7722168,0.25567567,0.2028705,-0.008694103,0.6136385,-0.12930454,0.84618497,0.541545,0.26309034,0.666959,0.3468593,0.24754266,0.22436737,0.15234527,1.2078727,-0.30851483,0.54778993,-0.32175404,-0.07173705,0.6464332,-0.16933705,-1.319503,0.56534064,-0.38924545,-0.10010333,1.2384388,0.6428841,0.53222245,1.1186353,-0.0013255262,-0.37687084,0.5859254,0.584292,0.61568654,0.33308488,0.46790668,-0.6270943,0.04835502,0.2884455,-0.20402071,0.5641452,0.30166844,-0.044767514,-0.38330355,-0.2613229,0.53343904,0.54733723,0.06806317,0.110855944,-0.93860805,0.38408938,-0.006383645,0.104023576,-0.02597503,0.4180323,1.2543576,0.23279989,0.07779568,0.3919696,0.88094217,-0.10578655,-0.6868196,BENIGN
