Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min, Label
10.0.0.101-10.0.0.102-39651-80-6,10.0.0.101,3166,10.0.0.102,8080,6,03/07/2017 00:11:41,-0.26642805,0.8394917,0.27530727,0.47216126,-0.18130058,0.41810676,-0.87573963,-0.15976183,0.5194413,0.36647373,-0.009895678,-0.013107071,0.62729645,-0.124061875,-0.6554956,0.36806273,0.3137605,0.12545608,1.5355011,-0.2441424,-0.19879429,0.39766365,0.55138075,0.07744931,0.27848902,-0.5455572,0.7735422,0.41502264,0.44983098,-0.44415843,0.94731945,-0.60694736,-0.2220886,0.607952,-0.8879196,0.25658482,0.6044442,-0.30068725,0.9151174,-0.12861928,-0.19190365,0.028119862,0.14769378,0.18263629,0.46129277,0.10232461,-0.10683551,-0.38355318,-0.3660465,0.83456993,-0.08037836,1.0034188,-0.06804516,-0.10769841,0.3903881,0.46348163,-0.55780333,0.9516422,0.038453195,-0.07259074,-0.27684757,1.0177869,0.982498,0.78366935,-0.20267233,-0.4600754,0.46668667,0.43341503,0.7642772,0.9182461,0.31937745,1.2462095,-0.29623917,-0.34132424,0.078745976,0.783084,0.514387,BENIGN
10.0.0.55-10.0.0.56-3944-80-6,10.0.0.55,48592,10.0.0.56,8080,17,03/07/2017 00:47:35,0.42946613,0.45105568,0.3994159,0.11805956,0.6680571,0.25048107,0.23638776,0.24889752,0.3317578,0.7952676,-0.2791886,-0.08365241,0.29833278,0.2734527,-0.06280554,0.29758266,0.43733808,0.25497925,0.6108184,-0.27850187,0.26369795,-0.46207237,-0.9029502,-0.7563903,0.033882353,-0.19155757,-0.5174862,0.69923156,0.33109894,-0.31350467,-0.08501777,-0.4311557,0.12035093,0.61498046,0.77208304,0.2928874,0.13788344,0.18197441,-0.12627277,0.3882136,0.3609232,-0.28918085,0.16193277,-0.12105117,0.67820597,0.8121499,-0.510104,0.5978089,0.37655145,0.4204764,0.33484113,0.62632674,-0.59738225,0.42872956,0.26126757,0.16414285,0.80495924,0.30780202,0.46845728,-0.09392488,0.1323615,0.072366245,0.28159517,0.049456067,0.74121225,0.113644496,-0.31042156,-0.04341178,0.34636912,-0.31673273,0.5326291,0.3289017,0.110035926,0.37160966,0.3851086,0.5985583,0.034422584,BENIGN
10.0.0.177-10.0.0.178-58753-80-6,10.0.0.177,13192,10.0.0.178,80,6,03/07/2017 00:32:57,-0.071345806,0.23990601,0.09637624,0.36102137,-0.51750356,0.74493265,-0.24221182,0.2127823,0.6833496,1.3278766,-0.043513395,0.29728714,0.70233226,0.05553345,0.28714815,0.5916515,0.16661339,-0.16780633,0.87834024,0.2778945,0.075297624,-0.16407293,-0.3342491,0.2544913,0.23914675,0.26815683,1.37163,-0.2006094,0.28296357,0.21346031,0.034540024,0.6053009,-0.029231388,-0.14043541,-0.28077278,0.8453229,0.5878394,0.44111207,0.7558875,0.17071283,0.6124504,-0.85341686,0.1469704,0.43888003,0.30894783,1.5746253,-0.4055731,0.12297342,0.44110563,0.24842428,0.40684775,1.0292819,1.2101249,-1.1753808,-0.14096576,0.46153194,-0.13493483,-0.27463818,0.3727924,0.4764012,0.19707501,-0.512537,0.35395047,-0.28102404,0.33481523,-0.15503633,-0.17778905,0.3725688,0.4342717,0.22455011,0.83823913,0.25991002,-0.3352997,-0.17177747,0.68918836,0.15214173,0.8735366,BENIGN
10.0.0.14-10.0.0.15-46312-80-6,10.0.0.14,20658,10.0.0.15,80,17,03/07/2017 00:36:54,1.0463191,0.31899646,-0.08032627,0.7508966,-0.009085822,-0.24149008,-0.04686466,0.22224982,0.3287028,0.34551468,-0.09235709,0.5793138,0.60073954,0.58889294,-0.18560818,0.94584084,0.736222,0.40738657,0.077626936,0.40825963,-0.123320825,-0.23211303,0.35661602,-0.106854744,0.21059081,0.7662514,1.0595232,0.16899773,0.7785842,-0.22240578,-0.13688052,-0.3418803,0.12045065,0.5364214,0.7003664,-0.29704177,0.7709251,0.43888292,1.0975907,-0.016064126,-0.63785976,0.29464108,0.5308964,0.21959643,0.47880185,0.42149624,1.1532669,-0.39035928,-0.023502892,0.1333367,0.4120159,1.2202227,0.69090605,-0.084672645,0.5593009,0.38217458,0.42763156,-0.20409851,0.59831053,0.57844627,0.08995452,0.75948757,-0.6225444,-0.33378875,0.65667874,-0.4206493,-0.64843446,0.61730707,-0.008175249,1.0463332,0.49262285,0.32889014,-0.2968779,-0.12982012,0.3324973,0.6525894,0.501677,BENIGN
10.0.0.74-10.0.0.75-30412-80-6,10.0.0.74,16523,10.0.0.75,23,6,03/07/2017 00:44:34,0.61809796,0.29275885,0.13812329,0.34192112,-0.56518704,0.9431219,0.5555597,0.5962187,0.24339639,-0.067520395,0.55414945,0.23387243,0.37580994,0.5580452,-0.8053647,1.440512,-0.009548715,0.09965981,0.3755401,-0.82626617,0.5976616,-0.1671259,0.44755492,0.37534916,0.2338449,0.27104762,1.4522401,-0.46803582,0.9503892,0.07899376,0.8618822,-0.48160586,0.1591617,0.8299321,-0.22982682,0.073647335,-0.28648072,0.56973445,0.38812688,0.48546463,0.07950338,0.12508172,0.071037054,-0.15281922,0.31897888,0.33276775,0.10739501,0.32847553,-0.90917784,0.012691222,0.071746945,-0.33351406,0.26932433,0.8455991,0.45507315,0.17683794,0.7104941,0.54643106,0.037672676,-0.17785527,-0.38910857,0.573241,0.58429104,0.15838923,0.997859,-0.58515126,0.45963687,1.2011198,-0.19892578,-0.013556184,0.37368467,0.32002938,0.27976263,0.3227435,0.9841651,0.477979,0.53554916,BENIGN
10.0.0.156-10.0.0.157-5588-80-6,10.0.0.156,28761,10.0.0.157,443,17,03/07/2017 00:02:36,0.70257074,0.5508954,-0.13338001,-0.6184318,-1.2478228,0.24481688,0.20510745,0.10451216,0.28704187,0.5406831,-0.2860819,0.64102775,0.9306792,0.5725733,0.4387401,1.284343,-0.36399904,-0.30438253,0.38840955,0.24218464,0.2591102,0.2601062,0.0893134,0.78790814,0.17984432,-1.0260473,-0.16268787,-0.016533073,-0.047550935,0.43352592,-0.1406979,-1.0388254,-0.12708956,1.1148607,0.20606509,0.6664868,0.6826292,0.9950178,0.6728617,0.36218634,-0.9804827,-0.61624324,-0.38041297,0.11330452,0.751612,0.65829265,0.42726073,-0.8121837,-0.48346573,0.3745345,0.36911175,0.36236608,-0.4079279,-0.91278243,0.71891266,-0.077868454,0.017596787,0.094114445,0.24856587,-0.36601183,-0.41791552,0.24750258,-0.27840617,0.07632734,-0.36085606,-0.06655988,-0.7306517,1.3797501,-0.61200666,-0.32863566,0.23345324,-0.27539694,-0.48696864,-0.36352414,0.022016069,1.000585,0.72735846,BENIGN
10.0.0.194-10.0.0.195-58579-80-6,10.0.0.194,59110,10.0.0.195,21,6,03/07/2017 00:46:34,0.54128575,0.15498886,1.0414798,-0.41064337,-0.7257752,-0.13044898,-0.30155548,-0.6065252,0.89892083,-0.24609967,0.64223677,0.29424632,0.21614191,-0.3236282,0.6619945,0.2152643,0.33459258,0.6863476,1.1117729,0.22115877,0.08597459,0.1437451,0.47300473,0.15044981,0.21889584,0.3698349,0.1468672,0.5415909,0.71871156,-0.23583871,0.30865765,-0.8399681,0.20264181,0.7109106,0.6204356,0.34075785,0.33252522,-0.3186335,0.589277,0.17262985,0.018502332,-0.11303172,0.121859595,0.18062314,0.91898334,0.13344248,0.25352195,0.13374159,-1.0399151,0.78239095,0.007301184,0.1054327,0.38115957,0.42586812,0.23906142,0.056907237,-0.30900532,-0.010836663,0.37968725,0.23294024,0.7447229,0.9066597,-0.46733567,-0.0412158,0.6460314,-0.058981393,0.41291988,0.74449646,0.3345509,0.8380214,0.044196546,0.4322858,0.23528586,-0.13197647,0.45614803,0.21011508,-0.030432109,BENIGN
10.0.0.33-10.0.0.34-45848-80-6,10.0.0.33,37533,10.0.0.34,443,6,03/07/2017 00:00:33,1.5167603,0.57566035,0.26986474,-0.15745813,0.0033544376,1.3428357,-0.21509035,0.14483915,0.20970012,1.0514406,0.18136911,0.5822984,0.63623446,-0.022679042,0.54387736,0.96802485,-0.12768644,0.6854969,2.3028212,0.19780937,0.95175594,-0.30717683,0.5783675,0.092062615,0.5781804,0.35169795,-0.46720618,1.0676863,0.41445103,-0.2890251,0.31111786,-0.35167876,0.23175694,0.4822726,0.12642857,0.33731624,-0.29841527,0.65862244,-0.19837032,0.90713704,0.12636459,0.047147192,-0.043796822,0.45515195,0.45138964,0.33770242,0.7579506,-0.103687994,0.039363977,0.737503,0.65030247,0.34734875,0.16021003,0.13341579,0.72643507,0.8355446,-0.21469317,0.17129275,0.10677551,0.47019428,0.5476859,0.49490145,0.42063347,0.5098459,-0.11482334,-0.098225065,-0.13135894,0.3754239,0.6577161,-0.18207432,1.1354972,-0.20613723,0.02721359,0.43668675,0.53652143,0.42562678,0.452097,BENIGN
10.0.0.172-10.0.0.173-24814-80-6,10.0.0.172,37995,10.0.0.173,22,6,03/07/2017 00:06:12,0.24807082,0.6014512,0.6164862,0.4687922,-0.7716065,0.47280127,0.18661487,0.26859716,0.48934436,0.44146135,0.42446128,-0.12078908,0.48243794,0.5772052,-0.074967116,0.70586705,0.52175295,-0.06420247,0.80606896,0.006363737,0.17767537,0.16482373,1.3445162,0.42631614,0.31253237,0.080893435,0.031123318,0.033652082,0.35899565,-0.34887865,0.28832415,0.3512039,0.11188069,0.72034806,0.07205509,0.30487838,0.86249506,-0.014952752,0.764555,0.10193569,0.93602246,0.23595124,0.35116684,0.4273984,-0.1553862,0.811136,-0.27853146,-0.12378256,0.4798288,-0.2811539,0.16564308,0.19520102,-0.2459564,-0.507918,0.02085419,0.6546127,0.09900478,-0.19460385,0.36588418,-0.5690801,-0.0025652854,0.73305666,0.50317115,0.011992259,0.9498681,0.6397644,-0.1599464,-0.2463355,0.3852093,0.121848166,-0.026240304,-0.6118508,0.38217404,-0.67525834,0.23795229,0.66611063,0.3979218,BENIGN
10.0.0.105-10.0.0.106-55752-80-6,10.0.0.105,10952,10.0.0.106,22,6,03/07/2017 00:15:05,0.75015336,0.14165719,-0.7030949,0.06781441,-1.0317831,0.6143747,0.14879662,0.5286677,0.047230348,0.97101086,0.3147101,-0.28019512,-0.13193308,-0.20254816,-0.55322284,-0.9873833,0.6633806,0.2590465,-0.57168204,-0.5778207,0.26682928,0.4787564,0.15951566,0.24426289,-0.29902604,0.122173935,-0.6154743,0.83432883,0.41601652,0.25431186,0.33964345,1.2016784,0.2828826,0.2912185,-0.08103514,-0.0942988,0.6406815,-1.1431276,0.28822967,-0.32679093,0.1795616,0.5405075,0.012999272,0.34012312,0.8415502,0.13799137,-0.2333499,0.5737016,0.56144655,0.80016124,0.18552788,0.22698626,0.4456692,-0.61159337,1.086415,0.28389207,0.41955566,-0.5024138,0.19243774,0.17553249,-0.26638108,0.19033518,0.6119096,-0.064948045,-0.023405038,0.050210763,-0.29420045,-0.2690894,1.177074,0.01207607,-0.001375624,0.26900756,0.08274442,0.13452348,-0.22403206,0.20400982,-0.27841303,BENIGN
