Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min, Label
10.0.0.17-10.0.0.18-45478-80-6,10.0.0.17,44922,10.0.0.18,21,6,03/07/2017 00:06:57,-0.7028963,1.1066537,-0.24576685,0.17990476,0.22990824,0.28069448,0.013946916,0.24894603,0.51335126,0.7140188,1.1153266,0.6331092,-0.04137846,0.7019676,-0.49699295,0.2054015,0.5643227,-0.27744937,0.62633586,-0.7843789,0.1693978,0.28362036,0.5411381,0.7351806,0.27306002,0.54739887,0.39191583,0.3495716,1.0134647,0.22687778,0.6645317,0.22442816,0.22503303,-0.0037853047,0.031349786,0.18848503,0.7588218,0.98205143,-0.18594877,-0.61530167,0.32625747,-0.82543486,0.36190256,0.50140804,-0.14083391,0.37614402,-0.1586763,0.20675504,-0.180935,-0.022028306,0.47334683,-0.03761364,0.67193055,0.3638268,-0.51314944,0.52799183,0.5089221,0.032389507,-0.013669468,0.7667285,0.7410255,-0.40257463,0.3233112,0.42405397,0.15895173,0.37243116,-0.14437082,1.0187187,-0.025890592,0.55875593,0.123035066,0.7720937,-0.5844712,-0.4359685,0.65799147,0.52408606,-0.017257685,BENIGN
10.0.0.194-10.0.0.195-22825-80-6,10.0.0.194,55976,10.0.0.195,22,17,03/07/2017 00:03:14,1.4553488,1.0799352,2.5896785,1.475403,0.94532174,1.5963447,2.856642,1.6003175,1.6265591,0.6820811,1.2612028,0.5609272,0.864881,1.8259298,3.2092683,2.6000688,2.7151144,1.9363314,1.544171,1.692293,1.4242505,3.1882768,1.470946,1.5539469,1.7856205,0.38277826,2.0282087,3.0472898,1.6050574,2.3620303,1.4492705,1.1516975,1.0806884,2.0264657,0.9349711,1.7136883,1.8066615,2.4751997,2.0953639,2.1208215,1.102061,2.7200563,2.1930768,2.6180847,1.5565441,2.6024115,1.855699,1.660257,2.2455692,0.008542039,2.0844548,1.5936475,1.5741973,0.5821906,2.3809676,2.6456428,2.0026722,2.0837514,1.4541893,2.4008615,1.1090977,2.294893,2.881994,2.9929621,2.5542088,1.7270602,1.70005,2.118544,1.6774267,2.0266268,1.0566602,3.4100516,3.2292202,2.5560055,1.1392027,0.88370335,1.2224104,FTP-Patator
10.0.0.174-10.0.0.175-54909-80-6,10.0.0.174,53012,10.0.0.175,53,6,03/07/2017 00:39:34,0.23283947,0.005794599,0.9205446,0.37160084,0.505886,-0.05831097,-0.14270106,0.34075636,-0.30329856,0.56479716,-0.1558844,0.39987057,0.3604056,0.5046263,0.31232253,1.1620097,0.59178865,-0.032982722,0.14242312,-1.2210442,0.528655,0.25104934,0.794722,0.21156184,0.39265698,0.79331887,0.62331754,0.84748167,-0.23923077,-0.4870893,0.07387253,0.7351356,-0.41315517,0.027608907,0.23375604,0.5171956,0.5530907,-0.47896644,-0.35728875,0.7374354,1.2827555,-0.187107,1.3250653,0.08455715,0.5504506,-0.5024816,0.38937026,0.28961897,0.8670674,0.43993568,1.044221,0.49335912,0.5443918,0.042560242,-0.15933754,0.56941074,0.18103908,-0.28677258,0.26230088,1.311759,-0.50938827,-0.8819077,0.5523121,0.6989001,0.25570723,-0.68904406,-0.3539791,0.31071925,0.3932783,-0.055557147,0.27126545,0.30023012,-0.10927392,0.005108801,-0.15461576,0.15647729,0.41175202,BENIGN
10.0.0.125-10.0.0.126-2264-80-6,10.0.0.125,35470,10.0.0.126,443,17,03/07/2017 00:18:45,0.8831132,0.5678512,0.59662557,0.35516766,-0.78622204,1.5198282,0.4322805,-0.1848804,0.4085357,0.12175632,0.8576091,0.31037945,0.3349667,-0.19686787,0.6457767,0.55674064,0.41114148,0.7818837,-0.1676789,-0.24421303,-0.6622867,-0.3753679,0.17862156,0.8432943,-0.095374934,0.6129314,-0.3296237,0.594556,0.59388906,0.25467086,-0.023761967,0.27090743,0.70986396,0.22937693,0.93313515,0.919366,0.29548746,0.33069956,1.2618566,0.43333644,0.056343403,0.20048606,0.51110387,0.015380368,-0.41442117,-0.32861662,0.39902565,-0.62608874,-0.35749355,-0.22322269,0.37601104,1.3913549,-0.27967083,0.6343001,0.28265318,1.0599847,-0.37792313,-0.44791347,0.5952842,-0.5779229,0.23117408,0.6703062,0.28646603,0.1315291,-0.5252542,0.35023448,0.04292596,0.4965748,0.2619895,-0.13770118,0.29294756,0.96040046,0.60929185,0.77208936,0.19944693,-0.8361194,0.49098,BENIGN
10.0.0.154-10.0.0.155-17453-80-6,10.0.0.154,50330,10.0.0.155,443,17,03/07/2017 00:29:14,0.589433,-0.44769022,-0.30852202,-0.074658036,0.1709471,0.5951703,-0.71630496,-0.18190132,-0.20877753,-0.062329825,0.4129961,0.3003391,0.16999905,0.054711793,0.14725755,0.70147496,0.85324734,0.9030724,0.59129083,-0.32646748,0.14333928,0.56151575,0.32629567,0.20121717,-0.6306252,0.55914897,0.44933775,1.294677,0.16589558,-0.0013577933,0.7763662,0.26896647,0.47054246,0.41270176,-0.18042853,0.6971467,-0.30338758,1.1180341,-0.6424662,0.9883386,0.17037086,1.1195929,0.1439226,0.6089268,0.17494108,0.2397657,0.39077246,0.66363347,0.4597382,-0.028764525,1.1737785,0.61458707,0.80807567,0.97058743,0.05930967,0.8443209,0.16255628,1.3185906,-0.24776591,0.55906034,-0.4466705,-0.044821512,0.7221776,0.07459129,-0.061100747,0.44198075,-0.7530497,0.36123297,0.6242552,1.0011632,0.21139173,0.91733974,0.7076748,0.32665443,0.3700538,0.89065945,0.6399464,BENIGN
10.0.0.93-10.0.0.94-5006-80-6,10.0.0.93,39835,10.0.0.94,8080,6,03/07/2017 00:28:13,-0.5369309,0.12511082,0.12623617,0.15982914,-0.36113065,-0.14952172,-0.17419186,0.54638124,0.28709477,-0.27766395,-0.07027731,0.10584021,0.7178343,0.09146531,0.14372912,0.5033961,0.47873297,0.039695103,0.4825072,-0.20063867,0.08186469,0.32056683,0.16068032,-0.007212324,0.4245908,-0.18363641,0.7081624,0.43492892,-0.4171287,0.35637784,-0.7426105,0.32838455,0.59421617,0.39001283,-0.059443668,0.1775232,1.315217,0.60458595,0.35912812,0.22135155,0.19475956,0.046630032,0.48640618,0.40300995,0.62596416,0.33375624,-0.12962061,0.91571105,-0.013094365,0.72143704,0.6919029,0.07045918,0.6310532,0.18725736,-0.3230494,0.63329107,0.48797745,-0.76710325,0.47885048,0.06416033,-0.00043886228,0.31224018,0.20489584,-0.6858064,-0.38077405,0.3287504,0.56017125,-0.41517898,0.3545889,0.2814422,0.69883794,0.18895984,-0.1938536,-0.1649952,0.4010052,1.0656533,0.84244245,BENIGN
10.0.0.96-10.0.0.97-41593-80-6,10.0.0.96,50748,10.0.0.97,21,17,03/07/2017 00:54:56,0.57484865,0.0146811195,0.15762734,-0.1406904,0.16156815,0.018410543,0.01765882,-0.2419137,0.3884484,0.24349168,0.45775884,0.16512164,0.58480144,-0.27585796,1.0282966,-0.08299824,0.50218457,0.4417779,0.38546667,-0.03478001,0.47912595,0.5955941,0.818616,0.7266513,0.5294755,1.610358,0.80092925,1.3431251,-0.008231101,0.12422722,0.11044689,-0.03157927,0.0773256,0.30951938,0.48554274,0.07266556,-0.47019473,1.5077542,-0.37501034,0.7823953,0.15332273,-0.33808267,0.2129624,0.44715095,0.8711794,-0.82861793,-0.07019573,-0.081992775,0.5181083,-1.1483543,0.38768223,0.15338454,0.1174556,1.99204,-0.05721846,0.9844486,0.32816988,1.5070388,0.6691717,0.41254947,0.038769245,0.528379,0.6100329,0.8165421,-0.23412779,1.0518388,0.6375585,-0.01592014,0.032321572,0.6004469,-0.6993929,-0.09345634,-0.21285696,-0.5408767,0.6297839,0.14040819,0.43019757,BENIGN
10.0.0.23-10.0.0.24-10687-80-6,10.0.0.23,6683,10.0.0.24,53,6,03/07/2017 01:00:23,0.54283166,0.11790657,-0.18440919,-0.41458943,0.18397836,0.2310172,0.8879664,0.027337339,-0.07108733,0.3295407,0.5119479,0.07832933,-0.24291131,-0.260062,0.050591275,0.6566946,0.7786483,0.5936984,0.23457119,0.18407951,0.68452024,0.19379199,0.410242,0.43241215,0.059149094,0.6100074,1.228946,-0.0054691704,-0.1696758,-0.16191436,0.38324073,0.052661814,0.46126917,0.9451411,0.5912972,0.34211734,-0.5219,-0.3339696,0.6137828,0.80861706,0.7513525,0.44447413,-0.3155143,0.06846436,0.31197065,0.004241401,0.593859,0.5068706,-0.83531415,0.27086058,0.6363266,0.8796319,0.4749402,0.26455337,-0.047502972,-0.04641908,-0.091796234,-0.06643303,0.018156325,-0.118899405,-0.30762255,0.5822453,1.1125255,0.11999327,0.3376373,0.9192964,0.23224436,0.41467962,1.0250313,0.5349044,0.797349,0.42783612,-0.17105596,0.34004506,0.2336836,-0.14273752,0.58539546,BENIGN
10.0.0.22-10.0.0.23-3367-80-6,10.0.0.22,21441,10.0.0.23,23,17,03/07/2017 00:33:42,-0.25363246,-0.0974823,0.124133945,0.08026807,0.30530676,0.13798465,0.44523048,-0.047771186,0.28387207,0.5992742,-0.16129534,-0.61027336,0.085616395,0.19140851,0.45632568,0.4708296,0.24865218,0.46697262,0.17535482,-0.06624669,-0.01983482,0.9444613,0.84831756,0.7415857,0.100409485,0.5213816,0.20881075,-0.3314826,-0.697719,0.54132193,-0.4092029,0.6574642,0.1572723,0.5805554,0.37535548,0.124595344,0.25581202,0.5347894,0.70523506,0.26938328,1.101368,1.8210626,-0.26715627,0.045560993,0.6433003,0.03559568,0.55925596,0.6183683,0.2746129,0.18486494,-0.21595004,0.62642807,0.9236185,0.5973932,0.50326085,0.788039,0.6840876,-0.1477248,-0.24497405,-0.9106395,-0.11395191,-0.39265272,0.35365763,-0.16996618,-0.22260775,-0.3176407,-0.47376016,0.32826826,0.6182093,1.006838,0.088705674,0.5200205,0.48343903,1.1899059,0.9259116,0.5317751,0.5676253,BENIGN
10.0.0.192-10.0.0.193-58893-80-6,10.0.0.192,32520,10.0.0.193,23,17,03/07/2017 00:13:12,0.35884413,-0.73955435,-0.12048,-0.04218134,0.5187664,-0.3929153,-1.1772103,0.6403449,0.5521077,0.025681725,0.11832455,-0.2907954,-0.2860298,0.52377075,0.676706,0.16559747,0.5413699,0.13789627,0.9509862,0.15691034,0.32191163,0.232876,0.72302806,0.8464806,0.27322558,0.19547382,-0.5386858,0.67576855,-0.06272154,0.14751096,0.119910054,0.98416615,0.8577391,0.15657432,0.2883937,0.40876636,0.1341297,0.8708838,0.2659715,0.27894205,0.8310855,-0.10613849,0.18001868,0.1271855,0.19974037,0.35215756,0.5806828,0.9010105,-0.19868019,-0.08620904,0.6518138,-0.2502827,0.8493549,-0.042817816,0.23374912,0.05877953,0.80231696,1.1570462,-0.12951756,-1.3215153,0.24313964,0.08936721,0.601149,0.33536243,0.39731255,0.652997,0.80350965,0.99226004,0.50069475,0.38036937,0.6046779,0.16397423,0.38026288,0.612491,0.01035258,-0.16659999,0.5198105,BENIGN
