Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min, Label
10.0.0.108-10.0.0.109-30649-80-6,10.0.0.108,30794,10.0.0.109,8080,17,03/07/2017 00:58:28,0.16204844,0.76332045,0.43484122,-0.25759462,-0.72568303,0.25450897,-0.9826266,-0.9096879,0.8920065,1.1979692,0.29755753,0.0856661,-0.38105708,0.85961264,1.1002527,1.3902458,0.005842787,0.5184016,0.06288528,0.446313,-0.61098254,0.19957082,0.094430074,-0.13696904,0.17596504,0.5152845,0.43547338,1.1249654,0.62964803,-0.28193513,0.74022275,-0.64368945,-0.21662396,-0.15592398,-0.3480364,0.20633274,0.21313837,-0.3464656,-0.54722387,0.71064794,0.124412976,0.1384249,0.076599784,0.32061312,0.6646056,0.024100535,1.1357248,0.41879487,-0.15496369,0.2838147,0.5801499,0.010397634,0.033052776,0.15978314,0.5323381,0.7001751,0.5585212,-0.36825058,1.0214021,0.28367838,-0.14680615,-0.34651923,0.21310128,0.47794613,-0.28778428,0.6819421,0.55014986,-0.61748314,-0.057669226,-0.45946008,0.15704028,-0.36813226,-0.11019728,0.22366396,0.15384732,0.9591401,1.1488215,BENIGN
10.0.0.155-10.0.0.156-16899-80-6,10.0.0.155,40942,10.0.0.156,80,6,03/07/2017 00:15:55,0.6347655,0.6689799,0.15492761,-0.42647555,-0.10790116,-0.08188156,-0.17190327,0.2693049,0.00053779455,0.56723183,0.6165826,0.5928437,0.50948995,0.7324536,0.15185773,0.51762754,-0.0023306406,-0.38305718,0.193131,-0.35273606,0.541897,0.5909506,0.75016516,0.009915797,0.6705177,0.73050624,-0.34226385,0.17721547,0.43002513,-0.5973645,0.868811,0.2994479,0.18274987,0.5374125,0.11285163,0.3844283,0.6223732,0.08768526,0.7951413,0.8407243,0.09186697,0.5599974,-0.21180756,0.93959427,0.67618203,-0.36978996,1.0834692,0.7047613,0.41367993,0.37873277,-0.2522458,-0.540923,-0.049500775,0.24202652,0.4123891,0.7989124,0.5584704,0.5232237,0.53537637,0.80058295,0.7307996,-0.55823773,-0.5134014,-0.24776512,0.7254017,-0.16651252,0.040425062,0.15048619,0.1354271,0.554182,-0.5273567,0.23692101,-0.6318149,1.0242493,0.02617337,0.90703183,0.23264737,BENIGN
10.0.0.167-10.0.0.168-50594-80-6,10.0.0.167,49756,10.0.0.168,53,17,03/07/2017 00:16:07,3.984084,3.0904567,2.6380615,3.0670195,1.2011237,3.0484583,3.52273,2.5353608,3.5727162,2.5989146,3.7186522,4.4709816,2.826817,3.685398,4.896028,5.276317,3.2070467,5.1588545,4.154118,3.724223,3.3409305,2.5995908,2.502852,4.4110928,2.3999238,3.3179176,2.0070412,3.148044,2.634438,2.5306742,3.0235047,2.87396,2.9431741,2.4191287,3.442333,2.9932482,4.4848485,3.1283574,4.4456067,3.5457854,2.5911875,4.144307,2.7623436,3.368418,1.9196154,3.3689742,2.6038034,2.8553092,2.1842513,2.8872867,2.1234348,3.1546187,3.66256,3.6581783,3.019953,2.31341,2.998031,2.9912527,3.1097093,3.9278262,-0.015104211,3.3284,4.4353976,3.6843536,3.2764509,4.1005025,0.6489872,2.9967413,4.3737364,1.9975603,2.4975934,3.7652557,3.1567276,3.6994026,2.8491054,3.4097154,2.9963207,DoS Hulk
10.0.0.86-10.0.0.87-38381-80-6,10.0.0.86,58899,10.0.0.87,53,17,03/07/2017 00:11:26,0.2576465,-0.06874936,0.04014621,1.489851,-0.53354657,0.9110632,0.55985,-0.056155793,-0.39686954,0.46435818,-0.02422819,0.07156952,0.1178579,-0.35110658,0.30874035,0.61867905,-0.22206043,0.057138573,0.04303744,-0.36003256,0.33952588,0.1922655,0.37153047,0.4234552,0.51758456,0.97079223,-0.36733148,0.5536202,1.0347812,0.19145592,0.46234733,0.24712458,-0.32267916,-0.01587084,0.035674017,0.52414846,0.35063124,0.31412783,0.2194619,1.2265486,0.5458534,0.36797518,0.49021915,0.5799743,0.11831022,0.72305393,-0.18912943,0.85065985,0.09287672,0.2596275,0.6237853,0.2518914,0.27680314,0.70430356,-0.2625082,0.14488049,0.58938074,0.2664771,0.7100627,0.35521808,1.1558287,0.6031746,0.33051425,0.41738102,0.10591258,0.3147177,0.5974277,0.085345924,0.045679245,0.56432366,1.4287599,0.7085801,0.54319847,0.609504,0.83946645,0.7569229,0.7524996,BENIGN
10.0.0.98-10.0.0.99-39553-80-6,10.0.0.98,43043,10.0.0.99,23,6,03/07/2017 00:34:58,-0.020987675,-0.05850475,0.1997249,-0.30143958,-0.17700785,0.1326041,1.0157669,0.75398237,-0.23417999,0.15006736,-0.050797593,-0.05142325,0.05111926,0.40905675,-0.925887,-0.00093717757,0.33312422,0.99591327,0.6079697,-0.49774542,0.3542287,0.511015,1.1410369,0.8193428,1.1871268,0.0727606,0.5120313,0.28813568,1.168168,0.51506954,0.042972825,1.011899,0.16083673,0.15599664,-0.18886013,0.25202864,0.558977,0.35536683,0.80427593,0.48321983,0.5220516,0.16174439,-0.37534744,0.22601245,0.5197295,1.1144438,0.11144492,0.08269868,0.12752117,0.3841906,0.44508478,0.5265049,0.6255949,0.58896244,0.3387455,0.1975687,0.28582114,-0.002607358,0.46220717,0.7968235,-0.13703921,0.22447121,0.03683182,0.5785903,-0.30027437,0.5524025,0.49625158,-0.32230368,0.65941966,0.20329173,0.051178526,-0.42712128,1.0206201,0.41381538,0.5289101,0.9501805,0.68748957,BENIGN
10.0.0.43-10.0.0.44-1211-80-6,10.0.0.43,59066,10.0.0.44,23,6,03/07/2017 00:00:43,3.948072,4.1645665,4.2865644,3.13981,4.679495,4.8539724,2.4836957,3.3413627,4.4199934,3.6073773,2.8894715,1.8756821,1.7467005,3.3483706,3.9799569,3.9198594,2.9972143,4.374762,2.9655273,4.1825447,3.108852,2.326897,3.0868123,0.526912,1.7936522,1.9851197,3.5325184,3.9332628,4.0581784,3.5546794,2.7109444,3.1058953,2.221144,3.3261755,3.8391,2.2319555,3.0564303,2.5334117,3.4753664,3.541818,3.8750663,3.559609,2.9463823,2.6306524,3.3546057,3.2216134,1.0023075,3.560664,3.6240747,3.3670878,2.7879372,2.8273377,3.1020918,1.6033632,2.7381225,4.032584,3.757305,3.52588,3.8622024,2.222074,3.3828273,3.766152,2.5449347,3.0238588,4.1443553,3.622382,1.617401,1.9566813,2.4003835,3.394886,3.9440322,3.4848464,2.9543118,2.763573,2.766873,3.8522596,3.184009,DoS GoldenEye
10.0.0.158-10.0.0.159-24870-80-6,10.0.0.158,53636,10.0.0.159,443,17,03/07/2017 00:05:58,0.735567,0.28220466,-0.048905175,1.1338688,0.9523707,-1.0657654,0.097846456,-0.20996712,0.7031538,0.031936847,0.5731377,0.3455864,0.4106634,0.6213342,0.30209392,1.4945091,0.3383045,0.58779556,-0.016487947,0.3265936,0.61535275,0.080435425,0.16049185,0.4239339,0.25223628,0.3025015,-0.42889333,0.5545327,0.1892383,0.6246373,0.41792384,-0.3004358,0.22982971,-0.032605883,-0.013275995,0.39913473,0.40596947,0.13775048,0.4207737,1.1293356,0.2103042,0.2476233,-0.38601536,0.32107112,0.54196155,0.20567869,-0.18480627,-0.15011929,0.59209496,-0.27703685,0.60795814,0.7021496,-0.056623943,0.6660768,0.9283278,0.9440178,0.5188712,-0.22347012,1.0623538,0.41166085,-1.1463978,0.51079816,0.20999728,0.29159105,-0.14157678,0.34539923,-0.3779608,0.17239875,0.037782464,0.49276906,-0.8615404,0.8135659,0.9319192,1.182327,0.58922356,1.4648777,1.0983089,BENIGN
10.0.0.154-10.0.0.155-4173-80-6,10.0.0.154,58593,10.0.0.155,53,6,03/07/2017 00:19:14,0.9217104,0.7438346,-0.026029924,-0.63178355,-0.5022565,0.5996064,0.36663017,0.5942063,0.0055433456,0.5348453,0.58447015,-0.1403817,-0.30793217,0.9027176,0.31647438,0.96412736,-0.27296546,0.43563384,0.45215574,-0.86085105,0.6597208,0.2633436,0.33300433,0.24029079,0.39126942,-0.10224986,0.5871517,0.4021141,-0.22050212,-0.047752764,0.28934056,-0.1116018,0.13972634,0.41833776,0.04086623,-0.25260985,0.53706574,0.80708134,0.62437457,0.4975483,-0.2918784,0.25196508,0.006023126,-0.41734898,0.7033725,0.54838395,0.18286717,-0.012714548,-0.18800806,0.34954178,0.5967123,0.04283747,0.4670257,0.010404806,-0.10274117,0.41353178,0.08845858,0.16967852,0.3970545,-0.05314563,0.6450271,0.22677393,-0.079817235,0.29651174,0.40982285,-0.21888924,1.1780843,0.3341476,1.1688385,0.19712879,0.78790444,0.6244269,0.13530283,0.13086209,0.21558562,0.08262096,-0.06986269,BENIGN
10.0.0.82-10.0.0.83-9123-80-6,10.0.0.82,23739,10.0.0.83,80,6,03/07/2017 00:31:22,0.43779686,1.1174737,0.2639391,0.2056727,0.030277463,0.4135653,0.50014997,0.05016614,0.16629097,0.73458177,0.25748155,0.19081813,-0.5094663,-0.20124188,1.3872559,0.3101758,0.38642082,0.5650707,0.24513792,0.30134958,0.90764636,-0.087689735,-0.016438691,0.77558464,0.1519177,0.19402029,-0.23010258,0.5481281,-0.12360788,0.5993945,0.96600914,-0.9015495,0.061118413,0.45541185,0.95671463,0.6469682,0.74045545,0.17826506,-1.2265288,1.6909527,-0.75087863,-0.11184786,-1.260218,1.1295087,-0.4599529,-0.70962626,0.116563685,0.7427594,0.14152403,0.5510582,0.5238287,0.32493982,0.23748152,0.24407007,0.7252832,0.26274645,0.2610413,0.36306775,-0.18246622,-0.24860683,1.2163341,-0.059459854,0.16877264,-0.024239616,0.7857035,0.40687266,0.092648216,0.2531378,0.47959226,0.44625282,0.59903073,0.1586647,1.0316753,0.20439187,0.51411325,-0.28360552,0.33374923,BENIGN
10.0.0.120-10.0.0.121-30246-80-6,10.0.0.120,45765,10.0.0.121,21,17,03/07/2017 00:02:00,3.0874984,2.986073,2.4674184,2.5844188,2.8031213,5.5232186,3.087589,4.0326447,2.9051015,1.7996365,2.1967976,2.9268146,2.640451,3.9001915,2.582921,4.4171143,2.8355227,4.2336836,3.139026,3.167875,4.8071346,2.7643604,2.8507125,2.0845497,3.643411,3.9459858,2.7695765,4.385055,2.421322,3.176601,2.5744138,2.554182,2.909211,3.3037891,4.653186,2.907684,5.127422,2.3724794,3.1259282,2.9555426,3.034626,4.591968,3.7771788,1.5882134,4.421645,4.242355,2.8809874,2.3136814,3.4596443,3.4350748,2.374542,3.1646707,4.131154,3.7715364,3.7770512,2.6068377,2.8994472,1.3868631,1.6364278,1.7209349,4.049673,2.1587336,4.0806413,2.5521069,3.4997363,2.4301302,1.994383,4.3106365,3.9378004,4.1596603,4.3887644,3.3408904,5.853503,3.2515464,3.767948,2.1518245,2.4462118,DoS Hulk
